START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.04,9.04,3,9.15,9.15,4,9.32,9.32,5,9.46,9.46,1,8.93,8.93,6,9.48,9.48,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
2,14.35,23.39,4,14.36,23.51,6,14.51,23.83,5,14.20,23.66,1,14.39,23.32,3,14.01,23.49,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
3,13.07,36.46,4,13.05,36.56,6,13.09,36.92,5,13.08,36.74,2,13.04,36.36,1,12.65,36.14,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
3,12.25,48.71,4,12.22,48.78,6,12.11,49.03,5,12.16,48.90,2,12.25,48.61,1,12.35,48.49,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
5,12.43,1:01.14,4,12.29,1:01.07,6,12.18,1:01.21,3,12.13,1:01.03,2,12.38,1:00.99,1,12.39,1:00.88,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
3,10.65,1:11.79,5,10.94,1:12.01,6,11.75,1:12.96,1,10.51,1:11.54,2,10.69,1:11.68,4,10.93,1:11.81,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
3,11.00,1:22.79,4,10.82,1:22.83,6,17.98,1:30.94,1,10.97,1:22.51,2,10.99,1:22.67,5,11.29,1:23.10,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
3,10.74,1:33.53,4,10.76,1:33.59,6,16.98,1:47.92,1,10.83,1:33.34,2,10.77,1:33.44,5,21.98,1:45.08,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,10.96,1:44.49,3,10.83,1:44.42,6,13.77,2:01.69,1,10.84,1:44.18,2,10.85,1:44.29,5,13.19,1:58.27,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,10.73,1:55.22,3,10.71,1:55.13,6,14.31,2:16.00,1,10.74,1:54.92,2,10.73,1:55.02,5,12.47,2:10.74,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,10.63,2:05.85,3,10.62,2:05.75,6,27.10,2:43.10,1,10.60,2:05.52,2,10.57,2:05.59,5,13.14,2:23.88,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,10.32,2:16.17,3,10.25,2:16.00,6,15.17,2:58.27,2,10.23,2:15.75,1,10.02,2:15.61,5,13.80,2:37.68,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,12.09,2:28.26,3,10.37,2:26.37,6,14.18,3:12.45,2,9.98,2:25.73,1,9.89,2:25.50,5,12.68,2:50.36,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
4,12.31,2:40.563,3,10.76,2:37.128,6,14.11,3:26.557,2,10.32,2:36.048,1,10.16,2:35.655,5,13.38,3:03.738,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,10
