START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,9.03,9.03,1,8.52,8.52,6,9.17,9.17,2,8.67,8.67,4,8.83,8.83,3,8.77,8.77,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
6,11.55,20.58,1,11.54,20.06,4,11.10,20.27,2,11.49,20.16,5,11.55,20.38,3,11.45,20.22,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
6,11.16,31.74,1,11.08,31.14,4,11.16,31.43,2,11.07,31.23,5,11.21,31.59,3,11.07,31.29,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
6,10.95,42.69,2,11.04,42.18,4,10.96,42.39,1,10.86,42.09,5,10.95,42.54,3,10.99,42.28,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
5,10.43,53.12,2,10.58,52.76,3,10.46,52.85,1,10.57,52.66,6,10.66,53.20,4,10.72,53.00,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
4,10.41,1:03.53,2,10.55,1:03.31,3,10.54,1:03.39,1,10.63,1:03.29,6,10.51,1:03.71,5,10.54,1:03.54,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
3,9.74,1:13.27,2,9.92,1:13.23,4,9.92,1:13.31,1,9.92,1:13.21,6,9.87,1:13.58,5,9.96,1:13.50,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.64,1:22.91,3,9.80,1:23.03,4,9.78,1:23.09,2,9.77,1:22.98,6,9.67,1:23.25,5,9.68,1:23.18,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
2,10.10,1:33.01,4,10.05,1:33.08,3,9.98,1:33.07,1,9.93,1:32.91,6,10.19,1:33.44,5,10.11,1:33.29,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.61,1:42.62,3,9.83,1:42.91,4,10.12,1:43.19,2,9.82,1:42.73,6,9.94,1:43.38,5,9.97,1:43.26,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.39,1:52.01,3,9.30,1:52.21,4,9.55,1:52.74,2,9.35,1:52.08,5,9.45,1:52.83,6,9.70,1:52.96,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.24,2:01.25,3,9.21,2:01.42,4,9.69,2:02.43,2,9.22,2:01.30,5,9.68,2:02.51,6,9.60,2:02.56,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.26,2:10.51,3,9.24,2:10.66,4,10.30,2:12.73,2,9.27,2:10.57,5,10.48,2:12.99,6,11.38,2:13.94,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
1,9.41,2:19.916,3,9.48,2:20.132,5,11.07,2:23.799,2,9.54,2:20.104,4,10.57,2:23.554,6,12.64,2:26.572,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,m,Heats,5
