KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME
1,8.54,8.54,2,8.62,8.62,4,9.07,9.07,3,8.84,8.84,5,9.22,9.22
2,11.02,19.56,1,10.86,19.48,4,10.71,19.78,3,10.80,19.64,5,10.67,19.89
2,10.83,30.39,1,10.85,30.33,4,10.84,30.62,3,10.84,30.48,5,10.84,30.73
2,10.77,41.16,1,10.75,41.08,4,10.70,41.32,3,10.73,41.21,5,10.69,41.42
1,11.00,52.16,2,11.11,52.19,4,11.05,52.37,3,11.07,52.28,5,11.05,52.47
1,10.14,1:02.30,2,10.21,1:02.40,3,10.14,1:02.51,4,10.23,1:02.51,5,10.28,1:02.75
1,9.67,1:11.97,3,9.75,1:12.15,4,9.73,1:12.24,2,9.56,1:12.07,5,9.67,1:12.42
1,9.42,1:21.39,2,9.35,1:21.50,3,9.35,1:21.59,5,21.24,1:33.31,4,9.31,1:21.73
1,9.38,1:30.77,3,9.49,1:30.99,2,9.30,1:30.89,5,13.73,1:47.04,4,9.36,1:31.09
1,9.22,1:39.99,3,9.18,1:40.17,2,9.19,1:40.08,5,10.29,1:57.33,4,9.17,1:40.26
1,9.20,1:49.19,3,9.19,1:49.36,2,9.19,1:49.27,5,10.63,2:07.96,4,9.18,1:49.44
1,9.26,1:58.45,4,9.23,1:58.59,2,9.21,1:58.48,5,10.33,2:18.29,3,9.06,1:58.50
3,9.45,2:07.90,4,9.63,2:08.22,2,9.21,2:07.69,5,10.22,2:28.51,1,9.09,2:07.59
3,9.68,2:17.578,4,10.17,2:18.387,2,9.44,2:17.123,5,10.37,2:38.880,1,9.21,2:16.793
