START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.52,9.52,2,9.02,9.02,5,9.69,9.69,3,9.30,9.30,1,8.94,8.94,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
5,11.89,21.41,2,11.98,21.00,4,11.56,21.25,3,11.82,21.12,1,11.96,20.90,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
4,11.53,32.94,2,11.70,32.70,5,11.84,33.09,3,11.70,32.82,1,11.71,32.61,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
4,11.87,44.81,2,11.90,44.60,5,11.86,44.95,3,11.87,44.69,1,11.89,44.50,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,11.03,55.84,3,11.47,56.07,2,10.98,55.93,4,11.40,56.09,5,11.71,56.21,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
2,10.92,1:06.76,3,10.74,1:06.81,1,10.61,1:06.54,4,10.73,1:06.82,5,10.94,1:07.15,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
2,10.36,1:17.12,3,10.44,1:17.25,1,10.48,1:17.02,4,10.57,1:17.39,5,10.34,1:17.49,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,10.19,1:27.31,4,10.21,1:27.46,2,10.31,1:27.33,3,10.03,1:27.42,5,10.21,1:27.70,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.58,1:36.89,3,9.64,1:37.10,2,9.64,1:36.97,4,9.80,1:37.22,5,9.64,1:37.34,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.49,1:46.38,3,9.46,1:46.56,2,9.45,1:46.42,5,9.62,1:46.84,4,9.39,1:46.73,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.03,1:55.41,3,9.08,1:55.64,2,9.11,1:55.53,5,9.30,1:56.14,4,9.30,1:56.03,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.12,2:04.53,3,9.13,2:04.77,2,9.14,2:04.67,4,9.33,2:05.47,5,9.90,2:05.93,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.26,2:13.79,3,9.30,2:14.07,2,9.27,2:13.94,4,9.71,2:15.18,5,10.40,2:16.33,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
1,9.19,2:22.973,3,9.57,2:23.631,2,9.13,2:23.064,4,10.42,2:25.591,5,11.52,2:27.845,2012-2013,"ISU World Cup 2012/2013, Sochi (RUS)",1500m,m,Heats,3
