START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,10.37,10.37,2,10.26,10.26,4,10.40,10.40,1,10.26,10.26,5,10.48,10.48,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
3,15.31,25.68,2,15.21,25.47,5,15.60,26.00,1,15.03,25.29,4,15.33,25.81,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
3,15.36,41.04,2,15.33,40.80,5,15.34,41.34,1,15.34,40.63,4,15.35,41.16,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
3,15.94,56.98,2,15.93,56.73,4,15.72,57.06,1,15.95,56.58,5,15.96,57.12,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,13.68,1:10.66,2,13.96,1:10.69,5,14.00,1:11.06,4,14.24,1:10.82,3,13.67,1:10.79,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,10.71,1:21.37,4,11.04,1:21.73,5,10.80,1:21.86,3,10.73,1:21.55,2,10.69,1:21.48,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,10.54,1:31.91,4,10.53,1:32.26,5,10.52,1:32.38,3,10.61,1:32.16,2,10.55,1:32.03,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,10.58,1:42.49,3,10.40,1:42.66,5,10.47,1:42.85,4,10.51,1:42.67,2,10.55,1:42.58,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,10.10,1:52.59,4,10.16,1:52.82,5,10.10,1:52.95,2,10.04,1:52.71,3,10.13,1:52.71,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.43,2:02.02,4,9.54,2:02.36,5,9.49,2:02.44,2,9.41,2:02.12,3,9.53,2:02.24,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.62,2:11.64,4,9.53,2:11.89,5,9.53,2:11.97,2,9.62,2:11.74,3,9.56,2:11.80,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.70,2:21.34,4,9.81,2:21.70,5,9.77,2:21.74,2,9.76,2:21.50,3,9.81,2:21.61,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.70,2:31.04,5,9.91,2:31.61,4,9.72,2:31.46,2,9.81,2:31.31,3,9.79,2:31.40,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
1,9.85,2:40.888,5,10.20,2:41.806,4,10.18,2:41.636,2,10.16,2:41.467,3,10.13,2:41.524,2014-2015,ISU World Short Track Speed Skating Championships® 2015,1500m,w,Heats,4
