HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
2,11.12,11.12,4,11.39,11.39,5,11.50,11.50,3,11.26,11.26,1,10.97,10.97
3,16.92,28.04,4,16.86,28.25,5,16.86,28.36,1,16.46,27.72,2,16.90,27.87
3,15.87,43.91,4,15.90,44.15,5,15.93,44.29,1,15.82,43.54,2,15.82,43.69
3,14.91,58.82,4,14.91,59.06,5,14.94,59.23,1,14.92,58.46,2,14.92,58.61
4,13.10,1:11.92,1,12.44,1:11.50,5,12.89,1:12.12,2,13.16,1:11.62,3,13.15,1:11.76
1,10.03,1:21.95,2,10.48,1:21.98,5,10.25,1:22.37,4,10.50,1:22.12,3,10.35,1:22.11
2,9.71,1:31.66,4,9.76,1:31.74,5,9.55,1:31.92,3,9.60,1:31.72,1,9.49,1:31.60
3,9.25,1:40.91,4,9.30,1:41.04,5,9.26,1:41.18,1,9.11,1:40.83,2,9.24,1:40.84
3,9.46,1:50.37,4,9.44,1:50.48,5,9.41,1:50.59,1,9.36,1:50.19,2,9.44,1:50.28
3,9.39,1:59.76,4,9.39,1:59.87,5,9.40,1:59.99,1,9.42,1:59.61,2,9.42,1:59.70
3,9.01,2:08.77,2,8.85,2:08.72,4,8.87,2:08.86,1,9.01,2:08.62,4,9.16,2:08.86
1,8.65,2:17.42,3,8.84,2:17.56,4,8.76,2:17.62,2,8.86,2:17.48,5,9.08,2:17.94
1,9.12,2:26.54,3,9.35,2:26.91,5,31.91,2:49.53,2,9.18,2:26.66,4,9.12,2:27.06
1,9.07,2:35.61,3,9.00,2:35.91,5,12.22,3:01.751,2,9.07,2:35.73,4,9.33,2:36.399
