START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.46,10.46,5,10.76,10.76,6,11.06,11.06,1,10.31,10.31,2,10.43,10.43,4,10.61,10.61,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,14.36,24.82,5,14.34,25.10,6,14.23,25.29,1,14.08,24.39,2,14.16,24.59,4,14.36,24.97,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,12.02,36.84,4,11.83,36.93,6,11.92,37.21,1,12.21,36.60,2,12.12,36.71,5,12.08,37.05,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,11.57,48.41,1,11.11,48.04,6,11.47,48.68,2,11.54,48.14,2,11.43,48.14,5,11.48,48.53,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,10.91,59.32,1,10.93,58.97,5,10.75,59.43,6,11.37,59.51,2,10.89,59.03,3,10.64,59.17,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,10.62,1:09.94,2,10.69,1:09.66,5,10.63,1:10.06,6,10.65,1:10.16,1,10.51,1:09.54,3,10.58,1:09.75,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,10.69,1:20.63,2,10.73,1:20.39,5,10.68,1:20.74,6,10.64,1:20.80,1,10.68,1:20.22,3,10.77,1:20.52,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,9.85,1:30.48,1,9.86,1:30.25,6,10.07,1:30.81,5,9.85,1:30.65,2,10.11,1:30.33,4,10.12,1:30.64,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,9.67,1:40.15,1,9.75,1:40.00,5,9.49,1:40.30,4,9.54,1:40.19,2,9.76,1:40.09,6,9.85,1:40.49,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,9.54,1:49.69,1,9.52,1:49.52,4,9.46,1:49.76,5,9.61,1:49.80,2,9.51,1:49.60,6,10.28,1:50.77,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,9.64,1:59.33,3,9.71,1:59.23,1,9.19,1:58.95,5,9.94,1:59.74,2,9.50,1:59.10,6,10.85,2:01.62,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,9.54,2:08.87,3,9.54,2:08.77,1,9.39,2:08.34,5,10.13,2:09.87,2,9.53,2:08.63,6,11.64,2:13.26,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
4,9.59,2:18.46,3,9.54,2:18.31,1,9.69,2:18.03,5,10.58,2:20.45,2,9.54,2:18.17,6,12.39,2:25.65,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
3,9.67,2:28.13,4,10.14,2:28.45,1,9.90,2:27.93,5,11.04,2:31.49,2,9.87,2:28.04,6,13.08,2:38.73,2018-2019,ISU World Cup 2018/19 - Calgary (CAN),1500m,w,Quarterfinals,4
