START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,10.33,10.33,3,10.31,10.31,2,10.17,10.17,5,10.58,10.58,1,10.13,10.13,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
4,15.38,25.71,3,15.34,25.65,2,15.35,25.52,5,15.30,25.88,1,15.17,25.30,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,15.24,40.95,4,15.46,41.11,2,15.36,40.88,5,15.39,41.27,1,15.39,40.69,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
4,14.76,55.71,1,14.32,55.43,3,14.70,55.58,5,14.64,55.91,2,14.83,55.52,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
4,11.85,1:07.56,2,11.88,1:07.31,1,11.62,1:07.20,5,11.79,1:07.70,3,11.94,1:07.46,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,11.14,1:18.70,2,11.30,1:18.61,1,11.32,1:18.52,4,11.09,1:18.79,4,11.33,1:18.79,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
4,10.07,1:28.77,2,9.98,1:28.59,2,10.07,1:28.59,1,9.78,1:28.57,5,10.11,1:28.90,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
2,9.67,1:38.44,4,23.51,1:52.10,3,9.98,1:38.57,5,23.69,1:52.26,1,9.52,1:38.42,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
2,10.54,1:48.98,5,12.78,2:04.88,3,10.53,1:49.10,4,12.51,2:04.77,1,10.50,1:48.92,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
2,11.13,2:00.11,5,12.09,2:16.97,3,11.15,2:00.25,4,12.07,2:16.84,1,11.12,2:00.04,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,10.40,2:10.51,5,13.89,2:30.86,2,10.24,2:10.49,4,13.96,2:30.80,1,10.34,2:10.38,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,10.06,2:20.57,5,11.86,2:42.72,2,9.88,2:20.37,4,11.77,2:42.57,1,9.98,2:20.36,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,10.00,2:30.57,5,11.47,2:54.19,1,9.98,2:30.35,4,11.50,2:54.07,2,10.08,2:30.44,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
3,10.08,2:40.65,5,11.48,3:05.67,1,10.06,2:40.41,4,11.44,3:05.51,2,10.03,2:40.47,2019-2020,ISU World Cup 2019/20 - Nagoya (JPN),1500m(1),w,Quarterfinals,1
