START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,9.58,9.58,4,9.45,9.45,3,9.29,9.29,2,9.24,9.24,6,9.69,9.69,1,9.17,9.17,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,12.75,22.33,1,12.53,21.98,4,12.98,22.27,3,12.93,22.17,6,12.65,22.34,2,12.85,22.02,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
6,11.75,34.08,1,11.55,33.53,4,11.57,33.84,3,11.54,33.71,5,11.61,33.95,2,11.61,33.63,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
6,12.05,46.13,1,12.05,45.58,4,12.08,45.92,3,12.09,45.80,5,12.07,46.02,2,12.08,45.71,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,11.99,58.12,1,12.15,57.73,4,12.17,58.09,3,12.16,57.96,6,12.20,58.22,2,12.13,57.84,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
3,10.69,1:08.81,1,10.92,1:08.65,4,10.72,1:08.81,5,11.00,1:08.96,6,11.03,1:09.25,2,10.89,1:08.73,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,10.52,1:19.33,1,10.17,1:18.82,3,10.26,1:19.07,4,10.21,1:19.17,6,10.24,1:19.49,2,10.20,1:18.93,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,10.07,1:29.40,1,10.12,1:28.94,3,10.09,1:29.16,4,10.08,1:29.25,6,10.29,1:29.78,2,10.11,1:29.04,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,10.12,1:39.52,2,10.10,1:39.04,3,10.05,1:39.21,4,10.08,1:39.33,6,10.38,1:40.16,1,9.96,1:39.00,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,10.34,1:49.86,2,9.68,1:48.72,3,9.66,1:48.87,4,9.96,1:49.29,6,10.82,1:50.98,1,9.59,1:48.59,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,10.76,2:00.62,2,9.64,1:58.36,3,9.63,1:58.50,4,10.40,1:59.69,6,11.51,2:02.49,1,9.66,1:58.25,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,11.24,2:11.86,2,9.85,2:08.21,3,9.74,2:08.24,4,11.10,2:10.79,6,12.07,2:14.56,1,9.75,2:08.00,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,11.84,2:23.70,2,10.04,2:18.25,3,10.24,2:18.48,4,11.64,2:22.43,6,12.46,2:27.02,1,9.85,2:17.85,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
5,12.59,2:36.282,2,10.34,2:28.581,3,10.36,2:28.835,4,12.22,2:34.643,6,12.45,2:39.463,1,10.01,2:27.853,2012-2013,"ISU World Cup 2012/2013, Nagoya (JPN)",1500m(2),w,Heats,4
