START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.55,9.55,4,9.77,9.77,2,9.66,9.66,3,9.67,9.67,5,9.91,9.91,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
1,12.99,22.54,4,13.08,22.85,3,13.10,22.76,2,12.98,22.65,5,12.98,22.89,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
2,11.73,34.27,5,11.76,34.61,4,11.70,34.46,3,11.72,34.37,1,11.35,34.24,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
1,10.79,45.06,2,10.51,45.12,5,10.85,45.31,4,10.85,45.22,3,10.93,45.17,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
1,10.60,55.66,2,10.60,55.72,5,10.64,55.95,4,10.65,55.87,3,10.63,55.80,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
1,10.98,1:06.64,2,11.02,1:06.74,5,11.02,1:06.97,3,10.87,1:06.74,4,11.03,1:06.83,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
3,10.15,1:16.79,2,9.96,1:16.70,5,10.06,1:17.03,1,9.86,1:16.60,4,10.05,1:16.88,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
3,10.46,1:27.25,2,10.44,1:27.14,5,10.40,1:27.43,1,10.39,1:26.99,4,10.48,1:27.36,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
3,10.60,1:37.85,2,10.60,1:37.74,5,10.60,1:38.03,1,10.66,1:37.65,4,10.55,1:37.91,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
4,10.63,1:48.48,2,10.62,1:48.36,5,10.69,1:48.72,1,10.60,1:48.25,3,10.55,1:48.46,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
4,9.99,1:58.47,1,9.75,1:58.11,5,10.15,1:58.87,2,9.88,1:58.13,3,9.82,1:58.28,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
4,9.59,2:08.06,1,9.55,2:07.66,5,10.50,2:09.37,2,9.64,2:07.77,3,9.56,2:07.84,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
4,9.67,2:17.73,1,9.64,2:17.30,5,11.12,2:20.49,2,9.64,2:17.41,3,9.59,2:17.43,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
4,9.82,2:27.544,1,9.71,2:27.008,5,11.60,2:32.084,2,9.66,2:27.066,3,9.69,2:27.120,2011-2012,"2012 ISU World Championships, CHN, Shanghai",1500m,w,Heats,1
