START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.83,9.83,1,9.29,9.29,2,9.59,9.59,4,9.78,9.78,3,9.69,9.69,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
4,13.68,23.51,1,14.00,23.30,3,13.88,23.47,2,13.55,23.34,5,13.90,23.59,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
4,11.57,35.08,3,11.55,34.86,2,11.34,34.82,1,11.47,34.81,5,11.59,35.19,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
5,11.71,46.80,3,11.54,46.41,1,11.52,46.34,2,11.56,46.38,4,11.49,46.68,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
5,11.55,58.35,2,11.61,58.02,1,11.55,57.90,3,11.66,58.04,4,11.44,58.12,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
5,11.52,1:09.87,3,11.50,1:09.53,1,11.49,1:09.39,2,11.39,1:09.44,4,11.61,1:09.74,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.85,1:19.73,2,10.46,1:19.99,4,10.77,1:20.17,3,10.68,1:20.12,5,10.56,1:20.30,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.66,1:29.40,5,16.66,1:36.66,3,9.49,1:29.66,2,9.39,1:29.52,4,9.43,1:29.74,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.52,1:38.92,5,12.99,1:49.65,3,9.53,1:39.19,2,9.51,1:39.03,4,9.66,1:39.40,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.78,1:48.70,5,10.25,1:59.91,4,9.95,1:49.15,2,9.82,1:48.85,3,9.61,1:49.01,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.98,1:58.69,5,10.45,2:10.37,3,9.74,1:58.89,2,9.93,1:58.79,4,9.88,1:58.90,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
1,9.35,2:08.05,5,10.71,2:21.08,4,9.74,2:08.64,2,9.32,2:08.12,3,9.38,2:08.28,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
2,9.21,2:17.26,5,11.05,2:32.13,4,9.31,2:17.95,1,9.13,2:17.25,3,9.48,2:17.76,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
2,9.66,2:26.914,4,11.28,2:43.404,0,,DQ,1,9.53,2:26.772,3,9.68,2:27.431,2008-2009,"Samsung ISU World Cup 2008/2009, USA, UT. Salt Lake City",1500m(1),m,RepQuarterfinals,4
