START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.56,8.56,1,8.43,8.43,5,8.71,8.71,4,8.70,8.70,2,8.51,8.51,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,11.91,20.47,2,11.87,20.30,1,11.58,20.29,5,11.87,20.57,3,11.84,20.35,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,10.72,31.19,3,10.71,31.01,1,10.47,30.76,5,10.69,31.26,2,10.52,30.87,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,10.14,41.33,3,10.16,41.17,1,10.19,40.95,5,10.15,41.41,2,10.18,41.05,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,9.69,51.02,3,9.71,50.88,1,9.67,50.62,5,9.69,51.10,2,9.68,50.73,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,9.53,1:00.55,3,9.55,1:00.43,1,9.64,1:00.26,5,9.53,1:00.63,2,9.64,1:00.37,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
4,9.65,1:10.20,3,9.65,1:10.08,1,9.60,1:09.86,5,9.66,1:10.29,2,9.61,1:09.98,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
3,9.16,1:19.36,4,9.29,1:19.37,1,9.27,1:19.13,5,9.29,1:19.58,2,9.25,1:19.23,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,8.78,1:28.14,3,9.00,1:28.37,4,9.27,1:28.40,5,9.14,1:28.72,2,9.02,1:28.25,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,8.84,1:36.98,3,8.90,1:37.27,4,9.13,1:37.53,5,9.29,1:38.01,2,8.90,1:37.15,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,8.85,1:45.83,2,8.94,1:46.21,4,9.36,1:46.89,5,9.39,1:47.40,3,9.23,1:46.38,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,8.92,1:54.75,2,9.01,1:55.22,4,9.69,1:56.58,5,9.76,1:57.16,3,9.41,1:55.79,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,9.06,2:03.81,2,9.28,2:04.50,4,9.96,2:06.54,5,10.02,2:07.18,3,9.75,2:05.54,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
1,9.80,2:13.604,2,9.83,2:14.324,4,10.22,2:16.759,5,10.44,2:17.615,3,10.03,2:15.561,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,Preliminaries,2
