START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.293,9.293,1,8.648,8.648,3,8.944,8.944,4,8.989,8.989,2,8.686,8.686,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,12.718,22.011,2,12.966,21.613,3,12.710,21.653,1,12.592,21.581,4,12.993,21.678,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,12.345,34.355,2,12.330,33.943,4,12.525,34.178,1,12.341,33.922,3,12.453,34.131,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,11.911,46.266,2,11.745,45.687,4,11.775,45.953,1,11.712,45.634,3,11.673,45.803,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,10.849,57.115,3,11.171,56.858,4,10.973,56.926,2,11.205,56.838,1,10.989,56.792,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,10.084,1:07.198,2,10.144,1:07.002,4,10.130,1:07.055,3,10.189,1:07.026,1,10.120,1:06.911,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,10.189,1:17.387,1,10.151,1:17.152,3,10.127,1:17.182,2,10.135,1:17.161,4,10.476,1:17.387,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,9.613,1:26.999,1,9.444,1:26.595,3,9.617,1:26.798,4,9.679,1:26.840,2,9.239,1:26.626,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,9.718,1:36.717,3,9.732,1:36.327,2,9.525,1:36.322,4,9.561,1:36.400,1,9.690,1:36.316,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
5,9.499,1:46.215,4,9.838,1:46.165,3,9.805,1:46.127,2,9.642,1:46.041,1,9.600,1:45.915,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
2,9.411,1:55.626,3,9.550,1:55.714,4,9.708,1:55.834,5,9.827,1:55.868,1,9.563,1:55.477,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
1,9.234,2:04.859,5,10.170,2:05.883,3,9.618,2:05.452,4,9.793,2:05.661,2,9.626,2:05.102,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
1,9.743,2:14.602,5,10.548,2:16.431,3,9.913,2:15.365,4,9.862,2:15.522,2,9.914,2:15.016,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
1,9.92,2:24.523,5,11.83,2:28.255,3,10.28,2:25.641,4,10.18,2:25.694,2,10.26,2:25.272,2003-2004,"2003 World Cup 2, USA",1500M,m,Heats,3
