START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.693,9.693,5,9.757,9.757,3,9.620,9.620,2,9.471,9.471,1,9.334,9.334,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,12.515,22.208,5,12.694,22.451,2,12.533,22.152,3,12.725,22.195,1,12.610,21.944,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
5,11.811,34.019,3,11.446,33.896,2,11.717,33.869,4,11.707,33.902,1,11.873,33.816,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,10.815,44.833,1,10.599,44.494,5,11.265,45.133,2,10.711,44.612,3,10.811,44.627,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
3,10.431,55.264,2,10.724,55.218,5,10.450,55.583,1,10.444,55.056,4,10.743,55.370,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,11.368,1:06.631,3,11.393,1:06.611,5,11.259,1:06.841,1,11.353,1:06.408,2,11.041,1:06.411,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,11.318,1:17.948,3,11.128,1:17.739,5,11.521,1:18.362,2,11.243,1:17.651,1,11.100,1:17.510,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,10.581,1:28.529,3,10.657,1:28.395,5,10.342,1:28.704,1,10.569,1:28.220,2,10.789,1:28.299,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,9.878,1:38.407,2,9.614,1:38.009,5,10.081,1:38.784,1,9.635,1:37.854,3,9.897,1:38.195,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,9.852,1:48.258,2,9.711,1:47.719,5,9.918,1:48.702,1,9.815,1:47.669,3,9.690,1:47.885,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,10.282,1:58.540,2,9.885,1:57.604,5,10.097,1:58.799,1,9.823,1:57.491,3,9.908,1:57.793,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
5,11.234,2:09.773,2,9.637,2:07.240,4,10.399,2:09.197,1,9.613,2:07.103,3,10.196,2:07.988,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,11.343,2:21.116,2,9.754,2:16.994,3,11.330,2:20.527,1,9.774,2:16.876,5,16.036,2:24.024,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
4,11.82,2:32.930,1,9.75,2:26.737,3,11.58,2:32.104,2,10.17,2:27.042,5,15.63,2:39.654,2004-2005,2005 Winter Universiade,1500m,m,Heats,7
