START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,8.234,8.234,4,8.547,8.547,2,8.153,8.153,1,8.122,8.122,5,8.611,8.611,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
2,12.637,20.870,3,12.499,21.046,4,12.920,21.073,1,12.697,20.818,5,12.490,21.101,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,11.265,32.135,1,10.658,31.703,2,10.775,31.848,3,11.135,31.953,5,11.259,32.359,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,10.270,42.405,2,10.552,42.255,1,10.285,42.133,3,10.370,42.322,5,10.079,42.438,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
5,10.700,53.105,1,10.581,52.835,4,10.926,53.059,2,10.628,52.950,3,10.547,52.985,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
5,10.603,1:03.707,1,10.615,1:03.449,3,10.574,1:03.633,2,10.579,1:03.529,4,10.689,1:03.673,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,10.814,1:14.521,2,10.982,1:14.431,5,10.981,1:14.614,1,10.812,1:14.341,3,10.766,1:14.439,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
3,9.966,1:24.486,5,10.450,1:24.881,2,9.746,1:24.360,1,9.976,1:24.317,4,10.078,1:24.517,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
2,9.904,1:34.390,5,10.096,1:34.976,3,10.087,1:34.446,1,10.046,1:34.362,4,10.053,1:34.569,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
3,9.484,1:43.873,5,10.174,1:45.150,4,9.580,1:44.026,1,9.454,1:43.815,2,9.259,1:43.828,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,9.530,1:53.403,5,10.620,1:55.769,2,9.319,1:53.344,1,9.526,1:53.340,3,9.548,1:53.375,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,9.776,2:03.179,5,10.829,2:06.598,1,9.342,2:02.686,2,9.437,2:02.777,3,9.463,2:02.838,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,10.029,2:13.207,5,10.702,2:17.299,3,9.819,2:12.505,1,9.440,2:12.216,2,9.553,2:12.390,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
4,11.14,2:24.345,5,11.12,2:28.417,3,9.65,2:22.155,1,9.65,2:21.859,2,9.58,2:21.970,2004-2005,"2004 World Cup 4, Canada",1500M,m,Heats,8
