START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
4,9.22,9.22,5,9.37,9.37,1,8.71,8.71,2,8.83,8.83,6,9.52,9.52,3,9.06,9.06,7,9.68,9.68,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
4,11.55,20.77,5,11.51,20.88,1,11.67,20.38,2,11.66,20.49,6,11.48,21.00,3,11.58,20.64,7,11.46,21.14,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
4,11.26,32.03,5,11.28,32.16,1,11.30,31.68,2,11.28,31.77,6,11.26,32.26,3,11.27,31.91,7,11.21,32.35,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
5,11.04,43.07,4,10.88,43.04,2,11.12,42.80,3,11.13,42.90,6,10.98,43.24,1,10.88,42.79,7,11.05,43.40,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
5,10.37,53.44,3,10.21,53.25,2,10.43,53.23,4,10.40,53.30,6,10.24,53.48,1,10.38,53.17,7,10.20,53.60,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
4,9.76,1:03.20,5,10.14,1:03.39,3,9.89,1:03.12,7,10.20,1:03.50,2,9.61,1:03.09,1,9.88,1:03.05,6,9.80,1:03.40,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
3,9.92,1:13.12,4,9.96,1:13.35,6,10.30,1:13.42,7,10.01,1:13.51,2,9.94,1:13.03,1,9.91,1:12.96,5,9.97,1:13.37,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
3,10.22,1:23.34,4,10.08,1:23.43,7,10.35,1:23.77,6,10.15,1:23.66,2,10.23,1:23.26,1,10.20,1:23.16,5,10.19,1:23.56,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
3,10.00,1:33.34,4,10.06,1:33.49,7,10.19,1:33.96,6,10.14,1:33.80,1,9.96,1:33.22,2,10.10,1:33.26,5,10.08,1:33.64,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
2,9.38,1:42.72,4,9.43,1:42.92,7,9.43,1:43.39,6,9.39,1:43.19,1,9.42,1:42.64,3,9.57,1:42.83,5,9.42,1:43.06,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
1,9.37,1:52.09,4,9.43,1:52.35,7,9.28,1:52.67,6,9.38,1:52.57,2,9.46,1:52.10,3,9.41,1:52.24,5,9.32,1:52.38,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
1,9.07,2:01.16,5,9.34,2:01.69,7,9.53,2:02.20,6,9.33,2:01.90,2,9.14,2:01.24,3,9.11,2:01.35,4,9.10,2:01.48,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
1,9.10,2:10.26,5,9.57,2:11.26,7,9.89,2:12.09,6,9.56,2:11.46,2,9.11,2:10.35,4,9.14,2:10.49,3,8.96,2:10.44,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
1,9.14,2:19.374,5,9.97,2:21.206,7,10.27,2:22.329,6,9.83,2:21.265,2,9.15,2:19.479,4,9.41,2:19.880,3,9.26,2:19.673,2015-2016,ISU World Cup 2015/16 - Dresden (GER),1500m(2),m,Rep.Heats,1
