START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.38,10.38,2,10.51,10.51,3,10.66,10.66,4,10.89,10.89,5,11.12,11.12,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
1,14.17,24.55,2,14.19,24.70,3,14.22,24.88,4,14.21,25.10,5,14.23,25.35,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
1,13.65,38.20,2,13.66,38.36,3,13.67,38.55,4,13.66,38.76,5,13.61,38.96,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
1,13.22,51.42,3,13.21,51.57,2,12.95,51.50,4,13.07,51.83,5,13.07,52.03,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
2,11.69,1:03.11,4,11.76,1:03.33,3,11.69,1:03.19,5,11.64,1:03.47,1,11.01,1:03.04,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
2,10.28,1:13.39,3,10.11,1:13.44,4,10.33,1:13.52,5,10.19,1:13.66,1,10.26,1:13.30,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
3,10.10,1:23.49,1,9.70,1:23.14,4,10.03,1:23.55,5,9.93,1:23.59,2,10.05,1:23.35,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
5,9.81,1:33.30,1,9.95,1:33.09,4,9.71,1:33.26,3,9.62,1:33.21,2,9.85,1:33.20,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
4,9.71,1:43.01,2,9.71,1:42.80,5,9.81,1:43.07,3,9.75,1:42.96,1,9.51,1:42.71,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
4,9.41,1:52.42,2,9.36,1:52.16,5,9.46,1:52.53,3,9.32,1:52.28,1,9.35,1:52.06,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
4,9.17,2:01.59,2,9.29,2:01.45,5,9.28,2:01.81,3,9.21,2:01.49,1,9.29,2:01.35,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
2,8.84,2:10.43,4,9.11,2:10.56,5,9.07,2:10.88,3,9.02,2:10.51,1,8.92,2:10.27,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
2,8.90,2:19.33,4,9.13,2:19.69,5,9.31,2:20.19,3,8.92,2:19.43,1,8.73,2:19.00,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
2,8.99,2:28.309,4,9.38,2:29.050,5,9.79,2:29.959,3,9.02,2:28.430,1,9.02,2:28.006,2017-2018,Audi ISU World Cup 2017/18 - Budapest (HUN),1500m,m,Heats,1
