START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.99,9.99,5,10.19,10.19,4,10.17,10.17,3,10.00,10.00,6,10.67,10.67,1,9.50,9.50,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
3,15.17,25.16,1,14.75,24.94,4,15.03,25.20,5,15.48,25.48,6,15.13,25.80,2,15.50,25.00,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
5,14.64,39.80,1,14.46,39.40,4,14.56,39.76,2,13.93,39.41,6,14.77,40.57,3,14.46,39.46,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
4,13.75,53.55,1,13.79,53.19,5,13.85,53.61,2,13.83,53.24,6,13.35,53.92,3,14.07,53.53,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
6,11.63,1:05.18,1,11.33,1:04.52,2,11.09,1:04.70,5,11.74,1:04.98,4,10.87,1:04.79,3,11.25,1:04.78,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
4,11.09,1:16.27,2,11.36,1:15.88,5,11.61,1:16.31,3,11.05,1:16.03,6,11.71,1:16.50,1,11.02,1:15.80,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
2,9.96,1:26.23,4,10.45,1:26.33,1,9.86,1:26.17,5,10.43,1:26.46,6,10.26,1:26.76,3,10.45,1:26.25,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
1,9.77,1:36.00,2,10.20,1:36.53,6,27.14,1:53.31,4,10.22,1:36.68,3,9.81,1:36.57,5,21.43,1:47.68,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
1,9.99,1:45.99,2,9.68,1:46.21,6,15.51,2:08.82,4,10.07,1:46.75,3,9.93,1:46.50,5,18.63,2:06.31,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
1,10.23,1:56.22,2,10.15,1:56.36,6,14.15,2:22.97,3,9.86,1:56.61,4,10.20,1:56.70,5,16.61,2:22.92,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
2,9.87,2:06.09,1,9.56,2:05.92,5,11.69,2:34.66,4,9.97,2:06.58,3,9.74,2:06.44,6,11.83,2:34.75,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
2,9.76,2:15.85,1,9.83,2:15.75,5,11.30,2:45.96,4,9.63,2:16.21,3,9.76,2:16.20,6,11.42,2:46.17,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
1,9.58,2:25.43,2,9.83,2:25.58,5,10.66,2:56.62,3,9.56,2:25.77,4,9.74,2:25.94,6,11.21,2:57.38,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
1,9.96,2:35.390,3,9.95,2:35.523,6,16.31,3:12.924,4,10.74,2:36.505,2,9.53,2:35.462,5,15.25,3:12.630,2013-2014,ISU World Junior Short Track Speed Skating Championships 2014,1500m,w,Semifinals,1
