START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,10.35,10.35,4,10.58,10.58,6,10.76,10.76,2,10.48,10.48,3,10.56,10.56,7,10.86,10.86,4,10.58,10.58,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
2,13.59,23.94,6,13.66,24.24,7,13.61,24.37,3,13.57,24.05,1,13.27,23.83,5,13.37,24.23,4,13.56,24.14,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
4,12.40,36.34,1,11.86,36.10,7,12.32,36.69,2,12.11,36.16,3,12.38,36.21,5,12.21,36.44,6,12.39,36.53,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
1,10.84,47.18,3,11.18,47.28,7,10.87,47.56,2,11.04,47.20,4,11.16,47.37,5,11.03,47.47,6,11.02,47.55,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
1,10.47,57.65,3,10.64,57.92,6,10.67,58.23,2,10.61,57.81,4,10.65,58.02,5,10.67,58.14,7,10.76,58.31,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
1,10.70,1:08.35,3,10.67,1:08.59,6,10.62,1:08.85,2,10.67,1:08.48,5,10.69,1:08.71,4,10.52,1:08.66,7,10.68,1:08.99,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
1,10.43,1:18.78,3,10.38,1:18.97,6,10.28,1:19.13,2,10.39,1:18.87,5,10.36,1:19.07,4,10.34,1:19.00,7,10.22,1:19.21,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.79,1:28.57,5,9.93,1:28.90,6,9.89,1:29.02,1,9.67,1:28.54,2,9.49,1:28.56,4,9.79,1:28.79,7,9.94,1:29.15,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.59,1:38.16,4,9.43,1:38.33,5,9.50,1:38.52,1,9.46,1:38.00,7,21.34,1:49.90,2,9.35,1:38.14,6,10.13,1:39.28,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.69,1:47.85,4,9.64,1:47.97,5,9.53,1:48.05,1,9.62,1:47.62,7,20.09,2:09.99,2,9.59,1:47.73,6,10.97,1:50.25,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.56,1:57.41,4,9.54,1:57.51,5,9.84,1:57.89,1,9.54,1:57.16,7,13.37,2:23.36,2,9.57,1:57.30,6,11.78,2:02.03,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.52,2:06.93,4,9.55,2:07.06,5,10.24,2:08.13,1,9.41,2:06.57,7,12.70,2:36.06,2,9.39,2:06.69,6,12.75,2:14.78,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.69,2:16.62,4,9.69,2:16.75,5,10.81,2:18.94,1,9.39,2:15.96,7,12.44,2:48.50,2,9.46,2:16.15,6,13.32,2:28.10,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
3,9.81,2:26.43,4,9.87,2:26.62,5,11.51,2:30.45,1,9.40,2:25.36,7,11.84,3:00.340,2,9.82,2:25.97,6,12.26,2:40.366,2018-2019,ISU World Cup 2018/19 - Torino (ITA),1500m,w,Semifinals,2
