START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,8.41,8.41,3,8.31,8.31,5,8.54,8.54,6,8.65,8.65,1,8.19,8.19,2,8.23,8.23,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
4,11.49,19.90,3,11.50,19.81,5,11.51,20.05,6,11.49,20.14,2,11.57,19.76,1,11.40,19.63,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
6,11.82,31.72,4,11.69,31.50,1,11.12,31.17,5,11.49,31.63,3,11.63,31.39,2,11.69,31.32,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
6,11.01,42.73,4,10.97,42.47,1,10.99,42.16,5,10.97,42.60,2,10.86,42.25,3,11.07,42.39,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
6,10.97,53.70,4,11.04,53.51,1,10.98,53.14,5,10.99,53.59,2,11.01,53.26,3,11.02,53.41,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
6,10.57,1:04.27,3,10.52,1:04.03,2,10.85,1:03.99,4,10.48,1:04.07,5,10.85,1:04.11,1,10.47,1:03.88,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
1,9.57,1:13.84,4,10.03,1:14.06,6,10.27,1:14.26,3,9.93,1:14.00,5,9.98,1:14.09,2,10.07,1:13.95,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
1,9.57,1:23.41,4,9.73,1:23.79,6,9.76,1:24.02,3,9.64,1:23.64,5,9.82,1:23.91,2,9.50,1:23.45,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
1,9.46,1:32.87,4,9.34,1:33.13,6,9.33,1:33.35,3,9.42,1:33.06,5,9.34,1:33.25,2,9.51,1:32.96,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
2,9.51,1:42.38,4,9.39,1:42.52,5,9.35,1:42.70,3,9.39,1:42.45,6,9.59,1:42.84,1,9.21,1:42.17,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
4,9.57,1:51.95,2,9.05,1:51.57,5,9.36,1:52.06,3,9.24,1:51.69,6,9.41,1:52.25,1,9.27,1:51.44,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
5,9.70,2:01.65,1,9.05,2:00.62,4,9.25,2:01.31,3,9.15,2:00.84,6,9.57,2:01.82,2,9.29,2:00.73,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
5,25.14,2:26.79,1,9.16,2:09.78,4,9.10,2:10.41,3,9.15,2:09.99,6,25.97,2:27.79,2,9.11,2:09.84,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
0,,PEN,1,9.21,2:18.989,4,9.55,2:19.951,2,9.11,2:19.091,5,20.51,2:48.291,3,9.37,2:19.204,2011-2012,"ISU World Cup 2011/2012, USA, Salt Lake City",1500m(1),m,Heats,5
