START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,8.778,8.778,2,8.730,8.730,1,8.653,8.653,4,8.884,8.884,6,9.244,9.244,5,9.178,9.178,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
4,13.943,22.721,2,13.921,22.650,1,13.811,22.463,3,13.834,22.717,6,13.896,23.139,5,13.856,23.034,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
2,13.491,36.211,1,13.499,36.149,5,13.805,36.268,4,13.529,36.246,6,13.519,36.658,3,13.209,36.242,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
3,13.348,49.558,1,13.220,49.368,2,13.258,49.525,4,13.358,49.603,5,13.235,49.892,6,13.657,49.899,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
2,13.014,1:02.572,1,13.103,1:02.471,4,13.077,1:02.602,3,12.994,1:02.597,6,13.095,1:02.987,5,12.918,1:02.817,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
1,11.341,1:13.912,3,11.945,1:14.416,4,11.819,1:14.420,5,11.885,1:14.482,2,11.024,1:14.010,6,12.030,1:14.846,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
1,10.238,1:24.150,5,10.095,1:24.510,3,9.911,1:24.331,4,9.899,1:24.380,2,10.207,1:24.217,6,9.823,1:24.669,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
3,9.881,1:34.031,5,9.768,1:34.278,4,9.815,1:34.146,2,9.554,1:33.934,1,9.680,1:33.896,6,9.698,1:34.366,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
3,9.501,1:43.531,5,9.672,1:43.949,4,9.536,1:43.681,2,9.598,1:43.531,1,9.585,1:43.480,6,9.653,1:44.019,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
3,9.714,1:53.245,6,9.667,1:53.615,5,9.754,1:53.435,2,9.644,1:53.175,1,9.461,1:52.941,4,9.246,1:53.264,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
4,9.711,2:02.956,6,10.060,2:03.674,5,10.063,2:03.497,2,9.664,2:02.838,1,9.721,2:02.662,3,9.642,2:02.905,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
4,9.981,2:12.936,6,10.487,2:14.160,5,9.993,2:13.490,2,9.642,2:12.479,1,9.702,2:12.363,3,9.829,2:12.733,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
4,10.991,2:23.927,6,11.152,2:25.312,5,10.451,2:23.940,2,9.766,2:22.245,1,9.710,2:22.073,3,10.334,2:23.067,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
5,12.02,2:35.940,6,11.46,2:36.765,4,11.26,2:35.199,2,10.28,2:32.517,1,9.89,2:31.956,3,11.23,2:34.288,2002-2003,2003 World Junior Championships Hungary,1500M,m,QuarterFinals,4
