START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.959,9.959,1,0.867,0.867,3,10.151,10.151,5,10.394,10.394,4,10.294,10.294,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
2,14.980,24.938,1,9.191,10.058,3,15.044,25.195,4,14.990,25.383,5,15.259,25.553,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
2,14.284,39.222,1,14.919,24.977,3,14.234,39.429,4,14.249,39.632,5,14.152,39.705,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
2,13.801,53.022,1,28.021,52.998,3,13.868,53.296,4,13.757,53.389,5,13.762,53.466,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,13.673,1:06.695,2,13.746,1:06.743,3,13.748,1:07.044,4,13.794,1:07.182,5,13.736,1:07.202,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,13.150,1:19.844,2,13.145,1:19.888,3,13.105,1:20.148,4,13.085,1:20.267,5,13.330,1:20.531,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
2,12.472,1:32.315,1,12.264,1:32.152,3,12.316,1:32.464,4,12.462,1:32.729,5,12.536,1:33.067,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,11.862,1:44.176,2,12.070,1:44.221,3,12.035,1:44.499,4,11.826,1:44.555,5,12.290,1:45.356,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,11.586,1:55.762,2,11.594,1:55.815,3,11.541,1:56.039,4,11.586,1:56.140,5,12.698,1:58.053,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,10.800,2:06.561,2,10.849,2:06.664,3,11.031,2:07.069,4,11.160,2:07.300,5,13.543,2:11.596,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,10.508,2:17.069,2,10.801,2:17.464,4,11.488,2:18.557,3,11.155,2:18.455,5,14.254,2:25.849,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,10.750,2:27.819,2,11.391,2:28.855,4,11.818,2:30.374,3,11.055,2:29.510,5,16.803,2:42.652,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,11.166,2:38.984,2,11.720,2:40.575,4,13.453,2:43.826,3,11.851,2:41.361,5,16.713,2:59.365,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
1,12.36,2:51.342,2,12.43,2:53.001,4,13.91,2:57.731,3,13.30,2:54.660,5,15.12,3:14.478,2005-2006,"2006 World Junior Championships, Romania",1500M,w,Heats,12
