START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,10.10,10.10,5,10.27,10.27,1,9.65,9.65,6,10.47,10.47,2,9.77,9.77,3,9.94,9.94,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
4,14.61,24.71,5,14.61,24.88,2,14.60,24.25,6,14.55,25.02,1,14.47,24.24,3,14.55,24.49,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
1,12.72,37.43,5,13.01,37.89,3,13.41,37.66,6,13.04,38.06,2,13.28,37.52,4,13.28,37.77,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
2,12.21,49.64,4,11.90,49.79,1,11.85,49.51,6,12.06,50.12,3,12.25,49.77,5,12.15,49.92,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
3,10.83,1:00.47,1,10.53,1:00.32,2,10.89,1:00.40,6,10.53,1:00.65,4,10.79,1:00.56,5,10.72,1:00.64,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
4,11.03,1:11.50,3,11.02,1:11.34,2,10.83,1:11.23,6,11.12,1:11.77,1,10.65,1:11.21,5,10.97,1:11.61,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
3,9.99,1:21.49,4,10.39,1:21.73,2,10.22,1:21.45,6,10.21,1:21.98,1,10.24,1:21.45,5,10.22,1:21.83,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
3,10.10,1:31.59,4,9.93,1:31.66,2,10.04,1:31.49,6,9.88,1:31.86,1,9.96,1:31.41,5,9.89,1:31.72,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
3,9.97,1:41.56,5,10.02,1:41.68,2,9.99,1:41.48,6,9.99,1:41.85,1,9.98,1:41.39,4,9.88,1:41.60,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
3,9.67,1:51.23,4,9.67,1:51.35,2,9.67,1:51.15,6,9.78,1:51.63,1,9.67,1:51.06,5,9.85,1:51.45,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
1,9.08,2:00.31,3,9.07,2:00.42,2,9.25,2:00.40,6,9.28,2:00.91,4,9.57,2:00.63,5,9.30,2:00.75,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
1,9.04,2:09.35,2,9.10,2:09.52,5,9.52,2:09.92,6,9.16,2:10.07,3,9.05,2:09.68,4,9.16,2:09.91,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
1,9.16,2:18.51,3,9.25,2:18.77,5,9.31,2:19.23,6,9.36,2:19.43,2,8.92,2:18.60,4,9.23,2:19.14,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
1,9.07,2:27.572,3,9.30,2:28.062,5,28.59,2:47.819,0,,DQ,2,9.04,2:27.638,4,9.06,2:28.195,2009-2010,"ISU World Cup 2009/2010, CHN, Beijing",1500m,m,Semifinals,3
