START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.88,8.88,1,8.79,8.79,5,9.15,9.15,7,9.31,9.31,6,9.23,9.23,4,9.00,9.00,3,8.94,8.94,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,12.62,21.50,2,12.60,21.39,6,12.69,21.84,1,11.92,21.23,7,12.82,22.05,3,12.49,21.49,5,12.62,21.56,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,11.60,33.10,1,11.48,32.87,6,11.48,33.32,2,11.65,32.88,7,11.45,33.50,3,11.51,33.00,5,11.62,33.18,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
3,11.45,44.55,1,11.53,44.40,6,11.58,44.90,2,11.60,44.48,7,11.51,45.01,4,11.56,44.56,5,11.57,44.75,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,12.20,56.75,1,12.05,56.45,6,12.17,57.07,3,12.17,56.65,7,12.20,57.21,2,11.99,56.55,5,12.11,56.86,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
3,11.36,1:08.11,2,11.55,1:08.00,6,11.50,1:08.57,1,11.26,1:07.91,7,11.81,1:09.02,4,11.60,1:08.15,5,11.49,1:08.35,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,10.45,1:18.56,2,10.32,1:18.32,6,10.26,1:18.83,1,10.31,1:18.22,7,10.90,1:19.92,3,10.19,1:18.34,5,10.32,1:18.67,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,9.78,1:28.34,5,10.07,1:28.39,6,9.70,1:28.53,1,9.65,1:27.87,7,10.95,1:30.87,2,9.72,1:28.06,3,9.55,1:28.22,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
5,9.44,1:37.78,4,9.25,1:37.64,6,9.57,1:38.10,1,9.29,1:37.16,7,11.52,1:42.39,2,9.25,1:37.31,3,9.18,1:37.40,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
5,9.19,1:46.97,4,9.16,1:46.80,6,9.60,1:47.70,1,9.37,1:46.53,7,11.71,1:54.10,2,9.36,1:46.67,3,9.39,1:46.79,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,9.25,1:56.22,3,9.22,1:56.02,6,9.94,1:57.64,1,9.24,1:55.77,7,12.63,2:06.73,2,9.27,1:55.94,5,9.70,1:56.49,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
4,9.30,2:05.52,3,9.37,2:05.39,6,10.84,2:08.48,1,9.21,2:04.98,7,11.83,2:18.56,2,9.35,2:05.29,5,10.03,2:06.52,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
3,9.43,2:14.95,2,9.38,2:14.77,6,11.35,2:19.83,1,9.45,2:14.43,7,12.57,2:31.13,4,9.72,2:15.01,5,10.56,2:17.08,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
3,9.68,2:24.63,2,9.63,2:24.40,6,11.27,2:31.10,1,9.82,2:24.25,7,12.91,2:44.04,4,10.14,2:25.15,5,11.24,2:28.32,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Preliminaries,6
