START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,11.10,11.10,5,11.69,11.69,2,11.25,11.25,3,11.41,11.41,6,11.75,11.75,4,11.56,11.56,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
1,19.31,30.41,5,19.44,31.13,2,19.30,30.55,3,19.34,30.75,6,19.63,31.38,4,19.35,30.91,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
1,18.88,49.29,5,18.88,50.01,2,18.94,49.49,3,18.98,49.73,6,18.92,50.30,4,18.95,49.86,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
2,18.37,1:07.66,3,17.73,1:07.74,1,18.00,1:07.49,4,18.15,1:07.88,6,17.94,1:08.24,5,18.16,1:08.02,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
4,15.14,1:22.80,2,14.74,1:22.48,1,14.97,1:22.46,3,14.80,1:22.68,6,14.89,1:23.13,5,14.93,1:22.95,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
4,12.79,1:35.59,2,12.83,1:35.31,1,12.82,1:35.28,3,12.72,1:35.40,6,12.82,1:35.95,5,12.81,1:35.76,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
4,10.75,1:46.34,1,10.72,1:46.03,2,10.85,1:46.13,3,10.85,1:46.25,6,10.57,1:46.52,5,10.68,1:46.44,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
4,10.36,1:56.70,2,10.40,1:56.43,3,10.43,1:56.56,1,10.06,1:56.31,6,10.38,1:56.90,5,10.35,1:56.79,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
4,9.61,2:06.31,1,9.58,2:06.01,2,9.57,2:06.13,3,9.84,2:06.15,6,9.59,2:06.49,5,9.64,2:06.43,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
2,9.46,2:15.77,1,9.69,2:15.70,3,9.67,2:15.80,4,9.73,2:15.88,6,9.49,2:15.98,5,9.51,2:15.94,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
1,9.15,2:24.92,2,9.25,2:24.95,3,9.33,2:25.13,5,9.31,2:25.19,6,9.35,2:25.33,3,9.19,2:25.13,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
1,9.27,2:34.19,3,9.43,2:34.38,4,9.35,2:34.48,6,9.37,2:34.56,5,9.22,2:34.55,2,9.15,2:34.28,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
1,9.43,2:43.62,4,9.47,2:43.85,5,9.51,2:43.99,6,9.49,2:44.05,2,9.19,2:43.74,2,9.46,2:43.74,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
2,9.56,2:53.167,4,9.56,2:53.391,5,9.46,2:53.439,6,9.74,2:53.770,1,9.26,2:52.988,3,9.63,2:53.353,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Semifinals,1
