START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,8.77,8.77,3,8.88,8.88,1,8.56,8.56,4,9.04,9.04,7,9.33,9.33,5,9.18,9.18,6,9.28,9.28,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
5,11.85,20.62,2,11.54,20.42,1,11.62,20.18,4,11.52,20.56,7,11.48,20.81,6,11.52,20.70,3,11.16,20.44,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,11.23,31.85,3,10.95,31.37,1,10.99,31.17,4,10.95,31.51,6,10.91,31.72,5,10.91,31.61,2,10.82,31.26,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,11.53,43.38,3,11.39,42.76,1,11.36,42.53,4,11.39,42.90,6,11.42,43.14,5,11.39,43.00,2,11.38,42.64,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,11.44,54.82,3,11.67,54.43,1,11.69,54.22,5,11.66,54.56,4,11.41,54.55,6,11.68,54.68,2,11.68,54.32,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,10.49,1:05.31,4,10.43,1:04.86,2,10.37,1:04.59,5,10.45,1:05.01,1,9.78,1:04.33,6,10.44,1:05.12,3,10.41,1:04.73,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,10.01,1:15.32,4,9.94,1:14.80,2,9.99,1:14.58,5,9.93,1:14.94,1,10.17,1:14.50,6,9.93,1:15.05,3,9.95,1:14.68,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,10.37,1:25.69,4,10.40,1:25.20,2,10.39,1:24.97,5,10.38,1:25.32,1,10.32,1:24.82,6,10.36,1:25.41,3,10.39,1:25.07,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,10.58,1:36.27,3,10.13,1:35.33,2,10.21,1:35.18,5,10.24,1:35.56,1,10.20,1:35.02,6,10.25,1:35.66,4,10.29,1:35.36,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,10.79,1:47.06,3,9.89,1:45.22,1,9.85,1:45.03,6,10.13,1:45.69,2,10.02,1:45.04,4,9.79,1:45.45,5,10.11,1:45.47,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,11.41,1:58.47,4,9.82,1:55.04,3,9.79,1:54.82,6,10.10,1:55.79,1,9.65,1:54.69,2,9.25,1:54.70,5,10.13,1:55.60,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,11.63,2:10.10,4,10.00,2:05.04,3,9.68,2:04.50,6,10.33,2:06.12,2,9.57,2:04.26,1,9.13,2:03.83,5,10.51,2:06.11,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,12.19,2:22.29,4,10.64,2:15.68,3,9.78,2:14.28,5,10.55,2:16.67,2,9.78,2:14.04,1,9.33,2:13.16,6,11.06,2:17.17,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
7,12.97,2:35.26,4,11.32,2:27.00,3,9.98,2:24.26,5,10.76,2:27.43,2,10.14,2:24.18,1,9.79,2:22.95,6,11.64,2:28.81,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Heats,4
