FRANCE POSITION,FRANCE LAP TIME,FRANCE ELAPSED TIME,NETHERLANDS POSITION,NETHERLANDS LAP TIME,NETHERLANDS ELAPSED TIME
2,12.83,12.83,1,12.23,12.23
2,9.25,22.08,1,8.92,21.15
2,9.02,31.10,1,9.08,30.23
2,8.70,39.80,1,8.85,39.08
2,8.77,48.57,1,8.82,47.90
2,8.40,56.97,1,8.64,56.54
2,8.14,1:05.11,1,8.39,1:04.93
1,8.22,1:13.33,2,8.53,1:13.46
1,8.29,1:21.62,2,8.26,1:21.72
1,8.35,1:29.97,2,8.34,1:30.06
1,8.79,1:38.76,2,8.89,1:38.95
1,9.25,1:48.01,2,9.12,1:48.07
1,9.32,1:57.33,2,9.37,1:57.44
2,9.44,2:06.77,1,9.25,2:06.69
2,8.88,2:15.65,1,8.88,2:15.57
2,8.49,2:24.14,1,8.53,2:24.10
2,8.59,2:32.73,1,8.43,2:32.53
2,8.39,2:41.121,1,8.41,2:40.948
