START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,12.43,12.43,4,12.63,12.63,6,13.10,13.10,5,12.86,12.86,1,11.66,11.66,2,11.88,11.88,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,14.42,26.85,4,14.36,26.99,6,14.24,27.34,5,14.35,27.21,1,14.88,26.54,2,14.81,26.69,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,12.94,39.79,4,12.93,39.92,6,12.91,40.25,5,12.90,40.11,1,12.94,39.48,2,12.96,39.65,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,12.16,51.95,4,12.14,52.06,6,12.09,52.34,5,12.12,52.23,1,12.20,51.68,2,12.17,51.82,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,11.62,1:03.57,4,11.63,1:03.69,6,11.58,1:03.92,5,11.57,1:03.80,1,11.62,1:03.30,2,11.61,1:03.43,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,10.99,1:14.56,4,10.96,1:14.65,6,10.86,1:14.78,5,10.93,1:14.73,1,10.96,1:14.26,2,10.99,1:14.42,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,9.94,1:24.50,4,9.92,1:24.57,5,9.92,1:24.70,6,10.16,1:24.89,2,10.01,1:24.27,1,9.73,1:24.15,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
3,9.36,1:33.86,4,9.37,1:33.94,5,9.31,1:34.01,6,9.23,1:34.12,1,9.36,1:33.63,2,9.58,1:33.73,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
2,8.96,1:42.82,3,9.00,1:42.94,5,9.09,1:43.10,6,9.17,1:43.29,1,9.15,1:42.78,4,9.22,1:42.95,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
1,8.72,1:51.54,4,8.91,1:51.85,5,8.84,1:51.94,6,8.77,1:52.06,2,8.96,1:51.74,3,8.89,1:51.84,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
1,8.73,2:00.27,5,8.90,2:00.75,4,8.78,2:00.72,6,8.77,2:00.83,2,8.76,2:00.50,3,8.78,2:00.62,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
1,8.77,2:09.04,5,8.82,2:09.57,4,8.74,2:09.46,6,8.93,2:09.76,2,8.75,2:09.25,3,8.74,2:09.36,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
1,8.96,2:18.00,5,8.90,2:18.47,4,8.91,2:18.37,6,8.95,2:18.71,3,9.10,2:18.35,2,8.73,2:18.09,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
2,9.07,2:27.07,4,9.21,2:27.68,3,8.87,2:27.24,5,9.07,2:27.78,6,9.82,2:28.17,1,8.91,2:27.00,2019-2020,ISU World Cup 2019/20 - Shanghai (CHN),1500m,m,Quarterfinals,2
