START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,9.74,9.74,1,9.58,9.58,7,10.11,10.11,4,9.84,9.84,3,9.75,9.75,6,9.97,9.97,5,9.88,9.88,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
5,14.05,23.79,1,13.74,23.32,4,13.54,23.65,6,14.01,23.85,2,13.70,23.45,7,14.06,24.03,3,13.68,23.56,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
3,13.41,37.20,1,13.69,37.01,5,13.76,37.41,6,13.67,37.52,2,13.71,37.16,7,13.75,37.78,4,13.71,37.27,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,11.58,48.78,2,11.85,48.86,7,11.94,49.35,5,11.58,49.10,4,11.83,48.99,6,11.51,49.29,3,11.66,48.93,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
3,11.03,59.81,2,10.80,59.66,7,10.95,1:00.30,6,11.04,1:00.14,5,11.04,1:00.03,1,10.34,59.63,4,11.02,59.95,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
3,10.24,1:10.05,2,10.26,1:09.92,7,10.52,1:10.82,6,10.19,1:10.33,5,10.19,1:10.22,1,10.20,1:09.83,4,10.18,1:10.13,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
4,10.53,1:20.58,2,10.53,1:20.45,7,10.69,1:21.51,6,10.40,1:20.73,3,10.34,1:20.56,1,10.52,1:20.35,5,10.56,1:20.69,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
4,9.65,1:30.23,2,9.54,1:29.99,7,11.20,1:32.71,6,9.72,1:30.45,1,9.35,1:29.91,3,9.67,1:30.02,5,9.65,1:30.34,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
4,9.24,1:39.47,2,9.28,1:39.27,7,12.01,1:44.72,6,9.28,1:39.73,1,9.28,1:39.19,3,9.33,1:39.35,5,9.30,1:39.64,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,9.09,1:48.56,3,9.39,1:48.66,7,13.04,1:57.76,6,9.44,1:49.17,2,9.39,1:48.58,4,9.42,1:48.77,5,9.30,1:48.94,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,8.99,1:57.55,3,9.06,1:57.72,7,12.62,2:10.38,6,9.63,1:58.80,2,9.05,1:57.63,4,9.10,1:57.87,5,9.03,1:57.97,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,9.18,2:06.73,3,9.17,2:06.89,7,12.22,2:22.60,6,10.58,2:09.38,2,9.20,2:06.83,4,9.11,2:06.98,5,9.19,2:07.16,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,9.21,2:15.94,3,9.28,2:16.17,7,11.97,2:34.57,6,11.31,2:20.69,2,9.24,2:16.07,4,9.28,2:16.26,5,9.49,2:16.65,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
1,9.40,2:25.330,3,9.31,2:25.465,7,11.77,2:46.306,6,11.69,2:32.362,2,9.35,2:25.410,4,9.27,2:25.53,5,10.16,2:26.81,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,6
