START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.59,9.59,4,9.78,9.78,3,9.70,9.70,5,9.79,9.79,5,9.79,9.79,2,9.67,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
2,13.54,23.13,4,13.50,23.28,3,13.55,23.25,5,13.57,23.36,6,13.76,23.55,1,13.33,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
2,12.66,35.79,3,12.59,35.87,4,12.69,35.94,5,12.62,35.98,6,12.73,36.28,1,12.72,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
1,10.71,46.50,3,10.74,46.61,4,10.71,46.65,5,10.80,46.78,6,10.62,46.90,1,10.78,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
1,10.48,56.98,3,10.55,57.16,4,10.59,57.24,5,10.58,57.36,6,10.57,57.47,2,10.55,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
1,11.16,1:08.14,3,11.18,1:08.34,4,11.19,1:08.43,5,11.18,1:08.54,6,11.18,1:08.65,2,11.18,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
1,11.38,1:19.52,4,11.36,1:19.70,3,11.26,1:19.69,5,11.31,1:19.85,6,11.32,1:19.97,2,11.38,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
1,10.86,1:30.38,4,10.91,1:30.61,3,10.71,1:30.40,6,10.91,1:30.76,5,10.76,1:30.73,2,10.78,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
3,10.24,1:40.62,4,10.13,1:40.74,2,10.12,1:40.52,6,10.32,1:41.08,5,10.07,1:40.80,1,10.05,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
4,10.17,1:50.79,5,10.18,1:50.92,3,10.18,1:50.70,6,10.11,1:51.19,2,9.86,1:50.66,1,10.14,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
3,9.96,2:00.75,5,10.06,2:00.98,4,10.08,2:00.78,6,10.32,2:01.51,1,9.85,2:00.51,2,10.12,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
2,9.86,2:10.61,5,10.43,2:11.41,4,10.14,2:10.92,6,10.78,2:12.29,1,10.01,2:10.52,3,10.19,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
2,10.41,2:21.02,5,11.14,2:22.55,3,10.40,2:21.32,6,11.17,2:23.46,1,10.41,2:20.93,4,11.03,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
2,10.90,2:31.92,5,12.20,2:34.75,3,10.70,2:32.02,6,11.45,2:34.91,1,10.92,2:31.85,4,11.31,,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,w,Heats,2
