START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.46,8.46,2,8.58,8.58,4,8.89,8.89,5,9.20,9.20,3,8.77,8.77,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
1,11.48,19.94,2,11.48,20.06,4,11.39,20.28,4,11.08,20.28,3,11.42,20.19,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,11.01,30.95,3,10.90,30.96,5,11.10,31.38,1,10.53,30.81,4,11.08,31.27,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,10.61,41.56,3,10.63,41.59,5,10.50,41.88,1,10.67,41.48,4,10.50,41.77,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
1,9.80,51.36,5,10.07,51.66,4,9.68,51.56,3,10.07,51.55,2,9.71,51.48,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,9.52,1:00.88,5,9.54,1:01.20,3,9.39,1:00.95,4,9.57,1:01.12,1,9.29,1:00.77,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,9.69,1:10.57,5,9.61,1:10.81,3,9.69,1:10.64,3,9.52,1:10.64,1,9.69,1:10.46,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
4,9.52,1:20.09,5,9.49,1:20.30,3,9.44,1:20.08,1,9.17,1:19.81,2,9.51,1:19.97,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
4,9.16,1:29.25,5,9.11,1:29.41,3,9.09,1:29.17,1,9.17,1:28.98,2,9.09,1:29.06,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
4,9.01,1:38.26,5,9.12,1:38.53,2,8.87,1:38.04,3,9.19,1:38.17,1,8.79,1:37.85,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
3,8.89,1:47.15,5,9.14,1:47.67,2,8.88,1:46.92,4,9.19,1:47.36,1,8.76,1:46.61,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
3,9.03,1:56.18,5,9.29,1:56.96,2,9.08,1:56.00,4,9.48,1:56.84,1,8.90,1:55.51,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,9.18,2:05.36,4,9.95,2:06.91,2,9.36,2:05.36,5,10.11,2:06.95,1,9.34,2:04.85,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
2,9.79,2:15.15,4,10.03,2:16.94,3,9.98,2:15.34,5,10.58,2:17.53,1,9.88,2:14.73,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),m,Quarterfinals,3
