START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
1,9.48,9.48,6,10.32,10.32,7,10.45,10.45,3,9.80,9.80,2,9.64,9.64,4,9.93,9.93,5,10.07,10.07,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
2,13.16,22.64,3,12.39,22.71,7,12.80,23.25,5,13.14,22.94,4,13.16,22.80,1,12.67,22.60,6,13.02,23.09,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,10.39,33.03,4,10.54,33.25,7,10.35,33.60,5,10.42,33.36,3,10.38,33.18,2,10.53,33.13,6,10.39,33.48,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
2,10.10,43.13,5,10.10,43.35,7,10.01,43.61,4,9.94,43.30,1,9.81,42.99,3,10.12,43.25,6,10.02,43.50,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,9.66,52.79,5,9.83,53.18,7,9.76,53.37,4,9.73,53.03,3,9.92,52.91,2,9.63,52.88,6,9.77,53.27,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,9.85,1:02.64,5,9.89,1:03.07,7,9.90,1:03.27,4,9.90,1:02.93,3,9.84,1:02.75,2,9.77,1:02.65,6,9.87,1:03.14,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
2,9.35,1:11.99,5,9.24,1:12.31,7,9.19,1:12.46,4,9.25,1:12.18,3,9.32,1:12.07,1,9.22,1:11.87,6,9.23,1:12.37,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,9.14,1:21.13,5,9.30,1:21.61,7,9.33,1:21.79,4,9.28,1:21.46,3,9.29,1:21.36,2,9.36,1:21.23,6,9.32,1:21.69,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,9.12,1:30.25,5,9.04,1:30.65,7,9.03,1:30.82,4,9.05,1:30.51,3,9.00,1:30.36,2,9.11,1:30.34,6,9.03,1:30.72,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,8.95,1:39.20,6,9.06,1:39.71,7,8.99,1:39.81,3,8.96,1:39.47,2,9.00,1:39.36,4,9.26,1:39.60,5,8.96,1:39.68,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,8.98,1:48.18,7,9.13,1:48.84,6,8.89,1:48.70,3,8.98,1:48.45,2,8.94,1:48.30,5,9.04,1:48.64,4,8.83,1:48.51,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,8.96,1:57.14,6,8.87,1:57.71,5,8.85,1:57.55,4,9.01,1:57.46,2,8.94,1:57.24,7,9.10,1:57.74,3,8.78,1:57.29,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,8.98,2:06.12,6,9.04,2:06.75,5,9.04,2:06.59,4,9.12,2:06.58,3,9.20,2:06.44,7,9.35,2:07.09,2,8.93,2:06.22,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
1,9.12,2:15.231,6,9.31,2:16.046,4,9.20,2:15.795,5,9.36,2:15.935,3,9.25,2:15.689,7,9.63,2:16.716,2,9.08,2:15.299,2016-2017,"ISU World Cup 2016/17 - Salt Lake City, UT (USA)",1500m(2),m,Semifinals,3
