START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,10.21,10.21,6,10.51,10.51,4,10.33,10.33,5,10.38,10.38,2,10.20,10.20,1,10.02,10.02,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
5,13.00,23.21,6,12.74,23.25,3,12.70,23.04,4,12.71,23.10,1,12.53,22.73,2,12.99,23.01,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,11.27,34.48,6,11.49,34.75,5,11.50,34.55,4,11.39,34.49,2,11.36,34.10,1,11.04,34.06,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
2,11.01,45.50,6,11.09,45.85,4,11.18,45.74,3,11.07,45.57,1,11.05,45.15,5,11.76,45.83,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
4,10.80,56.30,6,10.88,56.73,5,10.77,56.51,2,10.51,56.09,1,10.86,56.01,3,10.36,56.19,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.74,1:07.04,5,10.39,1:07.13,4,10.55,1:07.07,6,11.04,1:07.13,2,10.60,1:06.62,1,10.35,1:06.54,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.62,1:17.67,6,10.85,1:17.98,5,10.75,1:17.82,4,10.62,1:17.76,2,10.79,1:17.42,1,10.73,1:17.28,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.72,1:28.40,6,10.84,1:28.82,5,10.89,1:28.72,4,10.86,1:28.63,1,10.85,1:28.27,2,11.04,1:28.32,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.26,1:38.66,6,10.42,1:39.24,5,10.18,1:38.90,4,10.12,1:38.75,2,10.29,1:38.57,1,10.20,1:38.53,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.37,1:49.04,6,10.41,1:49.66,5,10.32,1:49.22,4,10.30,1:49.05,2,10.44,1:49.02,1,10.35,1:48.88,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
3,10.07,1:59.12,6,10.90,2:00.57,5,10.16,1:59.39,4,10.12,1:59.18,2,9.99,1:59.01,1,10.04,1:58.92,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
4,9.66,2:08.78,6,11.55,2:12.12,5,10.62,2:10.01,3,9.56,2:08.74,2,9.72,2:08.73,1,9.71,2:08.64,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
4,9.75,2:18.53,6,12.44,2:24.56,5,10.92,2:20.94,1,9.40,2:18.15,3,9.67,2:18.40,2,9.52,2:18.17,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
4,10.03,2:28.559,6,13.10,2:37.656,5,11.47,2:32.406,2,9.91,2:28.054,3,9.87,2:28.270,1,9.79,2:27.956,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(2),w,Heats,4
