START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,10.52,,3,10.68,10.68,5,10.91,10.91,6,11.13,11.13,1,10.39,10.39,3,10.68,10.68,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
2,13.30,,3,13.26,23.94,5,13.26,24.17,6,13.22,24.35,1,13.28,23.67,4,13.36,24.04,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
2,12.42,,3,12.41,36.35,5,12.42,36.59,6,12.42,36.77,1,12.41,36.08,4,12.42,36.46,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
2,12.36,,3,12.35,48.70,5,12.40,48.99,6,12.40,49.17,1,12.38,48.46,4,12.36,48.82,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
2,12.40,,3,12.42,1:01.12,6,12.34,1:01.33,5,12.11,1:01.28,1,12.39,1:00.85,4,12.40,1:01.22,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
3,11.03,,4,11.01,1:12.13,5,10.90,1:12.23,1,10.56,1:11.84,2,11.07,1:11.92,6,11.04,1:12.26,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
4,10.70,,5,10.68,1:22.81,6,10.71,1:22.94,2,10.63,1:22.47,3,10.66,1:22.58,1,9.92,1:22.18,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
4,10.52,,5,10.58,1:33.39,6,10.58,1:33.52,2,10.67,1:33.14,3,10.64,1:33.22,1,10.82,1:33.00,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
4,10.48,,3,10.26,1:43.65,5,10.35,1:43.87,2,10.43,1:43.57,6,10.73,1:43.95,1,10.52,1:43.52,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
3,9.73,,2,9.66,1:53.31,5,9.74,1:53.61,1,9.64,1:53.21,6,9.79,1:53.74,4,9.98,1:53.50,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
3,9.52,,2,9.56,2:02.87,4,9.56,2:03.17,1,9.57,2:02.78,6,9.64,2:03.38,5,9.87,2:03.37,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
3,9.45,,2,9.51,2:12.38,4,9.43,2:12.60,1,9.40,2:12.18,5,9.33,2:12.71,6,10.35,2:13.72,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
5,26.60,,6,35.24,2:47.62,2,10.02,2:22.62,1,9.48,2:21.66,3,9.92,2:22.63,4,10.95,2:24.67,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
5,20.66,,6,21.60,3:09.22,3,10.14,2:32.76,1,10.02,2:31.68,2,9.80,2:32.43,4,11.43,2:36.10,2019-2020,ISU World Cup 2019/20 - Dordrecht (NED),1500m,w,Quarterfinals,4
