START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,9.73,9.73,1,9.37,9.37,2,9.58,9.58,4,9.91,9.91,6,10.17,10.17,7,10.36,10.36,5,10.03,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
3,13.58,23.31,1,13.64,23.01,2,13.59,23.17,4,13.62,23.53,6,13.64,23.81,7,13.60,23.96,5,13.65,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
3,12.62,35.93,1,12.64,35.65,2,12.63,35.80,5,12.55,36.08,7,12.49,36.30,6,12.19,36.15,4,12.38,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,10.77,46.70,2,10.58,46.23,3,10.51,46.31,3,10.23,46.31,7,10.62,46.92,1,10.05,46.20,5,10.44,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.87,56.57,4,10.05,56.28,3,9.96,56.27,1,9.78,56.09,7,9.81,56.73,2,9.99,56.19,5,9.95,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.90,1:06.47,4,9.94,1:06.22,3,9.86,1:06.13,2,9.95,1:06.04,7,10.01,1:06.74,1,9.70,1:05.89,5,9.90,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.83,1:16.30,4,9.81,1:16.03,3,9.80,1:15.93,2,9.74,1:15.78,7,9.83,1:16.57,1,9.74,1:15.63,5,9.83,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.72,1:26.02,4,9.75,1:25.78,3,9.75,1:25.68,2,9.79,1:25.57,7,10.36,1:26.93,1,9.76,1:25.39,5,9.72,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.64,1:35.66,4,9.68,1:35.46,3,9.66,1:35.34,2,9.67,1:35.24,7,11.36,1:38.29,1,9.72,1:35.11,5,9.63,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.54,1:45.20,4,9.50,1:44.96,3,9.56,1:44.90,2,9.51,1:44.75,7,12.09,1:50.38,1,9.48,1:44.59,5,9.49,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
6,9.35,1:54.55,5,9.48,1:54.44,3,9.05,1:53.95,1,9.00,1:53.75,7,13.52,2:03.90,2,9.25,1:53.84,4,9.16,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
5,9.43,2:03.98,6,9.75,2:04.19,3,9.22,2:03.17,1,9.20,2:02.95,7,13.19,2:17.09,2,9.20,2:03.04,4,9.05,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
5,9.85,2:13.83,6,10.12,2:14.31,4,9.14,2:12.31,1,9.10,2:12.05,7,12.55,2:29.64,2,9.11,2:12.15,3,9.07,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
5,10.21,2:24.04,6,10.23,2:24.54,3,9.26,2:21.554,1,9.31,2:21.342,6,12.50,2:42.127,2,9.33,2:21.464,4,9.50,,2016-2017,ISU World Junior Short Track Speed Skating Championships 2017,1500m,m,Preliminaries,9
