START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.116,9.116,4,8.816,8.816,1,8.359,8.359,3,8.559,8.559,5,9.096,9.096,2,8.476,8.476,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,11.052,20.167,4,11.094,19.909,1,11.226,19.585,3,11.196,19.755,5,11.046,20.142,2,11.118,19.594,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
5,10.890,31.056,4,10.879,30.788,1,10.958,30.542,3,11.005,30.760,6,10.922,31.064,2,10.985,30.579,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,10.836,41.892,4,10.929,41.717,1,10.773,41.315,3,10.844,41.603,5,10.707,41.770,2,10.774,41.352,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,10.728,52.619,3,10.641,52.357,1,10.768,52.083,4,10.910,52.513,5,10.780,52.549,2,10.794,52.146,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,10.181,1:02.800,3,10.129,1:02.486,2,10.247,1:02.330,4,10.043,1:02.556,5,10.036,1:02.585,1,10.128,1:02.273,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,10.198,1:12.998,3,10.271,1:12.756,2,10.187,1:12.516,4,10.327,1:12.883,5,10.371,1:12.956,1,10.240,1:12.513,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,10.219,1:23.216,5,10.444,1:23.200,1,10.317,1:22.833,4,10.109,1:22.992,3,10.021,1:22.977,2,10.335,1:22.847,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,9.915,1:33.130,5,9.850,1:33.049,2,10.010,1:32.842,3,9.906,1:32.897,4,10.048,1:33.025,1,9.735,1:32.581,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
5,9.441,1:42.571,6,9.590,1:42.639,3,9.467,1:42.308,2,9.152,1:42.049,4,9.442,1:42.467,1,9.428,1:42.009,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
5,9.213,1:51.784,6,9.462,1:52.100,3,9.364,1:51.672,2,9.315,1:51.364,4,9.309,1:51.775,1,9.268,1:51.277,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
4,9.846,2:01.629,5,9.569,2:01.668,3,9.630,2:01.301,2,9.737,2:01.100,6,9.914,2:01.688,1,9.449,2:00.725,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
6,34.270,2:35.899,5,9.735,2:11.403,4,10.063,2:11.364,1,9.170,2:10.269,3,9.536,2:11.224,2,9.912,2:10.637,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
0,,DQ,5,25.03,2:36.430,4,10.83,2:22.185,1,10.15,2:20.412,2,9.44,2:20.657,3,10.20,2:20.828,2002-2003,2002 World Cup 4 Italy,1500M,m,Heats,1
