START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,9.91,9.91,2,10.09,10.09,3,10.24,10.24,4,10.38,10.38,5,10.62,10.62,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
1,13.83,23.74,2,13.79,23.88,3,13.79,24.03,4,13.74,24.12,5,13.74,24.36,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
1,12.87,36.61,2,12.86,36.74,3,12.85,36.88,4,12.84,36.96,5,12.77,37.13,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
1,12.79,49.40,2,12.77,49.51,3,12.84,49.72,4,12.85,49.81,5,12.85,49.98,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
1,12.28,1:01.68,2,12.29,1:01.80,5,12.25,1:01.97,4,12.09,1:01.90,3,11.84,1:01.82,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
3,10.95,1:12.63,2,10.76,1:12.56,5,10.91,1:12.88,4,10.83,1:12.73,1,10.71,1:12.53,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
3,10.42,1:23.05,1,10.29,1:22.85,5,10.38,1:23.26,4,10.41,1:23.14,2,10.42,1:22.95,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
3,10.50,1:33.55,1,10.46,1:33.31,5,10.41,1:33.67,4,10.49,1:33.63,2,10.51,1:33.46,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
3,9.92,1:43.47,1,9.94,1:43.25,5,10.04,1:43.71,4,9.97,1:43.60,2,9.85,1:43.31,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
2,9.44,1:52.91,5,18.63,2:01.88,4,9.43,1:53.14,3,9.48,1:53.08,1,9.38,1:52.69,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
2,9.32,2:02.23,5,23.38,2:25.26,4,9.36,2:02.50,3,9.30,2:02.38,1,9.43,2:02.12,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
2,9.13,2:11.36,5,12.56,2:37.82,4,9.27,2:11.77,3,9.24,2:11.62,1,9.12,2:11.24,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
2,9.18,2:20.54,5,11.86,2:49.68,4,9.19,2:20.96,3,9.32,2:20.94,1,9.16,2:20.40,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
2,9.46,2:29.997,5,20.17,3:09.843,4,9.60,2:30.560,3,9.52,2:30.456,1,9.32,2:29.715,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,6
