START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
5,10.22,10.22,6,10.36,10.36,4,10.08,10.08,1,9.42,9.42,3,9.74,9.74,2,9.55,9.55,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,12.72,22.94,5,12.71,23.07,6,13.15,23.23,1,13.17,22.59,3,13.12,22.86,2,13.19,22.74,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,12.62,35.56,5,12.64,35.71,6,12.69,35.92,1,12.47,35.06,3,12.47,35.33,2,12.47,35.21,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,11.92,47.48,5,11.94,47.65,6,12.04,47.96,1,12.03,47.09,3,12.01,47.34,2,12.01,47.22,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,12.11,59.59,5,12.08,59.73,6,12.01,59.97,1,12.07,59.16,3,12.11,59.45,2,12.10,59.32,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,12.13,1:11.72,5,12.14,1:11.87,6,12.26,1:12.23,1,12.19,1:11.35,3,12.14,1:11.59,2,12.19,1:11.51,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
4,11.53,1:23.25,5,11.56,1:23.43,6,12.23,1:24.46,3,11.79,1:23.14,1,11.41,1:23.00,2,11.61,1:23.12,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
2,10.64,1:33.89,4,10.57,1:34.00,6,12.27,1:36.73,5,11.11,1:34.25,3,10.90,1:33.90,1,10.58,1:33.70,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,10.06,1:43.95,2,10.07,1:44.07,6,12.64,1:49.37,5,10.95,1:45.20,4,10.36,1:44.26,3,10.55,1:44.25,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,10.42,1:54.37,2,10.42,1:54.49,6,22.37,2:11.74,5,23.18,2:08.38,3,11.40,1:55.66,4,12.00,1:56.25,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,10.79,2:05.16,2,10.84,2:05.33,6,14.81,2:26.55,5,17.15,2:25.53,4,11.76,2:07.42,3,11.01,2:07.26,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,11.00,2:16.16,2,10.98,2:16.31,5,14.97,2:41.52,6,16.12,2:41.65,4,11.42,2:18.84,3,11.45,2:18.71,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,11.06,2:27.22,2,11.03,2:27.34,6,15.24,2:56.76,5,13.72,2:55.37,4,11.93,2:30.77,3,11.92,2:30.63,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
1,11.13,2:38.343,2,11.81,2:39.149,4,14.28,3:11.040,0,,PEN,0,,PEN,3,12.31,2:42.934,2012-2013,"2013 ISU World Junior Championships, Warsaw (POL)",1500M,m,Heats,6
