START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.30,9.30,1,8.76,8.76,2,8.95,8.95,3,9.11,9.11,5,9.44,9.44,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,11.29,20.59,1,11.43,20.19,2,11.38,20.33,3,11.34,20.45,5,11.25,20.69,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.71,31.30,1,10.78,30.97,2,10.78,31.11,3,10.75,31.20,5,10.69,31.38,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,11.13,42.43,1,11.08,42.05,2,11.08,42.19,3,11.11,42.31,5,11.15,42.53,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.75,53.18,1,10.76,52.81,2,10.76,52.95,3,10.77,53.08,5,10.77,53.30,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.77,1:03.95,1,10.81,1:03.62,2,10.79,1:03.74,3,10.77,1:03.85,5,10.73,1:04.03,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.91,1:14.86,1,10.86,1:14.48,2,10.83,1:14.57,3,10.87,1:14.72,5,10.96,1:14.99,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.45,1:25.31,1,10.53,1:25.01,2,10.53,1:25.10,3,10.50,1:25.22,5,10.46,1:25.45,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
4,10.32,1:35.63,1,10.31,1:35.32,2,10.32,1:35.42,3,10.32,1:35.54,5,10.51,1:35.96,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
2,9.84,1:45.47,1,10.07,1:45.39,3,10.09,1:45.51,4,10.08,1:45.62,5,10.72,1:46.68,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
1,9.56,1:55.03,2,9.85,1:55.24,3,9.84,1:55.35,4,10.01,1:55.63,5,11.26,1:57.94,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
1,9.90,2:04.93,2,9.87,2:05.11,3,9.84,2:05.19,4,10.31,2:05.94,5,11.75,2:09.69,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
1,10.02,2:14.95,2,9.97,2:15.08,3,10.11,2:15.30,4,10.84,2:16.78,5,12.18,2:21.87,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
1,10.24,2:25.19,2,10.27,2:25.35,3,10.29,2:25.59,4,11.30,2:28.08,5,12.37,2:34.24,2018-2019,ISU World Cup 2018/19 - Almaty (KAZ),1500m(1),w,Quarterfinals,5
