START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.74,9.74,2,9.55,9.55,4,9.95,9.95,5,10.14,10.14,1,9.42,9.42,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
3,10.91,20.65,2,10.99,20.54,4,10.85,20.80,5,10.89,21.03,1,10.98,20.40,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
3,10.28,30.93,2,10.31,30.85,5,10.23,31.03,4,9.99,31.02,1,10.33,30.73,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,10.23,41.16,3,10.21,41.06,5,10.26,41.29,1,9.88,40.90,2,10.26,40.99,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,10.33,51.49,3,10.35,51.41,5,10.29,51.58,2,10.38,51.28,1,10.28,51.27,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,10.28,1:01.77,3,10.26,1:01.67,5,10.29,1:01.87,2,10.30,1:01.58,1,10.20,1:01.47,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,10.22,1:11.99,3,10.22,1:11.89,5,10.25,1:12.12,2,10.22,1:11.80,1,10.22,1:11.69,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,10.13,1:22.12,3,10.13,1:22.02,5,10.16,1:22.28,2,10.12,1:21.92,1,10.12,1:21.81,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,9.92,1:32.04,3,9.95,1:31.97,5,9.97,1:32.25,2,9.99,1:31.91,1,10.01,1:31.82,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
4,9.94,1:41.98,3,9.93,1:41.90,5,9.89,1:42.14,2,9.94,1:41.85,1,9.95,1:41.77,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
1,9.65,1:51.63,3,9.84,1:51.74,5,9.92,1:52.06,4,9.95,1:51.80,2,9.90,1:51.67,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
1,9.04,2:00.67,2,9.81,2:01.55,4,10.08,2:02.14,3,9.95,2:01.75,5,10.52,2:02.19,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
1,9.24,2:09.91,2,9.59,2:11.14,4,10.54,2:12.68,3,9.77,2:11.52,5,10.60,2:12.79,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
1,9.62,2:19.528,2,10.20,2:21.333,4,11.29,2:23.964,3,10.31,2:21.821,0,,PEN,2013-2014,"ISU World Cup 2013/2014, Shanghai (CHN)",1500m,m,Heats,11
