START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
3,9.53,9.53,5,9.75,9.75,4,9.63,9.63,2,9.51,9.51,1,9.39,9.39,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
3,12.68,22.21,5,12.68,22.43,4,12.68,22.31,1,12.45,21.96,2,12.69,22.08,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
3,12.25,34.46,5,12.26,34.69,4,12.24,34.55,1,12.24,34.20,2,12.25,34.33,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
3,11.90,46.36,5,11.89,46.58,4,11.90,46.45,1,11.95,46.15,2,11.93,46.26,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
3,11.76,58.12,5,11.81,58.39,4,11.82,58.27,1,11.74,57.89,2,11.73,57.99,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
3,11.24,1:09.36,5,11.25,1:09.64,4,11.23,1:09.50,2,11.29,1:09.18,1,11.16,1:09.15,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.93,1:19.29,5,9.83,1:19.47,3,9.75,1:19.25,1,9.77,1:18.95,2,9.95,1:19.10,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.67,1:28.96,5,9.61,1:29.08,3,9.56,1:28.81,1,9.70,1:28.65,2,9.64,1:28.74,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.71,1:38.67,5,9.73,1:38.81,3,9.73,1:38.54,1,9.68,1:38.33,2,9.67,1:38.41,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.59,1:48.26,5,9.71,1:48.52,3,9.56,1:48.10,1,9.56,1:47.89,2,9.51,1:47.92,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.18,1:57.44,5,9.53,1:58.05,3,9.15,1:57.25,2,9.32,1:57.21,1,9.19,1:57.11,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.11,2:06.55,5,9.77,2:07.82,1,8.68,2:05.93,3,9.20,2:06.41,2,9.14,2:06.25,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.16,2:15.71,5,10.09,2:17.91,1,8.79,2:14.72,3,9.20,2:15.61,2,9.12,2:15.37,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
4,9.90,2:25.608,5,10.60,2:28.503,1,9.19,2:23.905,3,9.69,2:25.299,2,9.36,2:24.728,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,m,Heats,7
