START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,8.71,8.71,2,8.88,8.88,3,9.03,9.03,4,9.14,9.14,5,9.26,9.26,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,12.76,21.47,2,12.77,21.65,3,12.77,21.80,4,12.80,21.94,5,12.77,22.03,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,11.86,33.33,2,11.85,33.50,3,11.84,33.64,4,11.83,33.77,5,11.83,33.86,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
2,10.92,44.25,3,10.81,44.31,1,10.56,44.20,4,10.65,44.42,5,10.65,44.51,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,10.61,54.86,3,10.74,55.05,2,10.71,54.91,4,10.76,55.18,5,10.77,55.28,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,10.05,1:04.91,2,9.97,1:05.02,4,10.21,1:05.12,3,9.93,1:05.11,5,9.96,1:05.24,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,9.89,1:14.80,3,9.99,1:15.01,4,9.97,1:15.09,2,9.80,1:14.91,5,9.90,1:15.14,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,9.80,1:24.60,3,9.80,1:24.81,4,9.83,1:24.92,2,9.78,1:24.69,5,9.86,1:25.00,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,10.04,1:34.64,3,10.07,1:34.88,4,10.07,1:34.99,2,10.09,1:34.78,5,10.09,1:35.09,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
1,9.93,1:44.57,2,9.73,1:44.61,4,9.75,1:44.74,3,9.87,1:44.65,5,9.77,1:44.86,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
4,9.68,1:54.25,1,9.36,1:53.97,3,9.48,1:54.22,2,9.47,1:54.12,5,9.62,1:54.48,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
4,9.66,2:03.91,1,9.49,2:03.46,3,9.47,2:03.69,2,9.42,2:03.54,5,9.81,2:04.29,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
4,9.62,2:13.53,1,9.62,2:13.08,3,9.53,2:13.22,2,9.60,2:13.14,5,10.20,2:14.49,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
4,9.83,2:23.357,1,9.66,2:22.735,3,9.68,2:22.899,2,9.66,2:22.798,5,10.64,2:25.122,2013-2014,"ISU World Cup 2013/2014, Seoul (KOR)",1500m,w,Quarterfinals,1
