START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,11.07,11.07,4,11.39,11.39,3,11.21,11.21,5,11.58,11.58,7,12.05,12.05,1,10.88,10.88,6,11.83,11.83,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,15.95,27.02,2,15.20,26.59,3,15.51,26.72,6,15.53,27.11,1,14.48,26.53,4,15.94,26.82,7,15.52,27.35,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
4,11.81,38.83,5,12.28,38.87,2,12.04,38.76,6,11.96,39.07,3,12.26,38.79,1,11.68,38.50,7,11.95,39.30,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
2,11.11,49.94,4,11.17,50.04,3,11.24,50.00,6,11.26,50.33,5,11.35,50.14,1,11.39,49.89,7,11.22,50.52,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
3,10.49,1:00.43,1,10.13,1:00.17,4,10.57,1:00.57,6,10.50,1:00.83,5,10.58,1:00.72,2,10.35,1:00.24,7,10.48,1:01.00,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
3,10.24,1:10.67,1,10.30,1:10.47,4,10.12,1:10.69,6,10.13,1:10.96,5,10.16,1:10.88,2,10.32,1:10.56,7,9.98,1:10.98,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,16.52,1:27.19,1,9.61,1:20.08,4,15.08,1:25.77,3,9.46,1:20.42,2,9.47,1:20.35,6,19.06,1:29.62,7,23.86,1:34.84,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,10.18,1:37.37,1,9.85,1:29.93,4,9.61,1:35.38,3,9.80,1:30.22,2,9.78,1:30.13,6,13.34,1:42.96,7,11.69,1:46.53,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,10.31,1:47.68,1,9.89,1:39.82,4,9.64,1:45.02,3,9.87,1:40.09,2,9.87,1:40.00,6,11.84,1:54.80,7,9.68,1:56.21,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,10.51,1:58.19,1,9.68,1:49.50,4,10.03,1:55.05,3,9.57,1:49.66,2,9.64,1:49.64,6,10.57,2:05.37,7,9.35,2:05.56,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,10.71,2:08.90,1,9.18,1:58.68,4,10.26,2:05.31,2,9.11,1:58.77,3,9.26,1:58.90,7,10.29,2:15.66,6,9.55,2:15.11,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,10.61,2:19.51,1,9.01,2:07.69,4,10.42,2:15.73,2,8.96,2:07.73,3,8.93,2:07.83,7,11.13,2:26.79,6,9.51,2:24.62,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,11.04,2:30.55,2,9.06,2:16.75,4,10.96,2:26.69,3,9.09,2:16.82,1,8.87,2:16.70,7,10.43,2:37.22,6,9.74,2:34.36,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
5,11.14,2:41.657,2,9.29,2:26.027,4,10.46,2:37.133,3,9.31,2:26.119,1,9.03,2:25.715,7,14.44,2:51.621,6,11.93,2:46.267,2015-2016,ISU World Short Track Speed Skating Championships® 2016,1500m,m,Semifinals,1
