START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
3,10.95,,4,11.12,11.12,1,10.76,10.76,6,11.46,11.46,2,10.91,,5,11.26,11.26,7,11.66,11.66,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
3,15.39,,4,15.35,26.47,1,15.23,25.99,6,15.29,26.75,2,15.20,,5,15.38,26.64,7,15.28,26.94,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
4,14.36,,3,14.20,40.67,1,14.40,40.39,6,14.33,41.08,2,14.42,,5,14.28,40.92,7,14.32,41.26,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
1,11.34,,2,11.49,52.16,3,11.84,52.23,6,11.39,52.47,4,11.72,,5,11.44,52.36,7,11.31,52.57,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
1,11.72,,2,11.75,1:03.91,3,11.76,1:03.99,5,11.73,1:04.20,4,11.82,,7,11.92,1:04.28,6,11.66,1:04.23,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
1,10.98,,2,10.93,1:14.84,2,10.85,1:14.84,4,10.84,1:15.04,5,11.07,,7,11.16,1:15.44,6,11.05,1:15.28,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
1,10.20,,3,10.32,1:25.16,2,10.22,1:25.06,4,10.23,1:25.27,5,10.22,,7,10.14,1:25.58,6,10.19,1:25.47,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
1,10.82,,2,10.64,1:35.80,3,10.78,1:35.84,5,10.68,1:35.95,4,10.58,,7,10.75,1:36.33,6,10.70,1:36.17,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
2,9.97,,4,10.03,1:45.83,1,9.86,1:45.70,5,10.06,1:46.01,3,9.88,,7,9.95,1:46.28,6,9.95,1:46.12,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
2,9.61,,5,9.82,1:55.65,1,9.54,1:55.24,4,9.52,1:55.53,3,9.56,,7,9.66,1:55.94,6,9.63,1:55.75,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
7,24.62,,4,9.53,2:05.18,1,9.75,2:04.99,2,9.57,2:05.10,3,9.79,,6,9.61,2:05.55,5,9.59,2:05.34,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
6,18.30,,7,39.17,2:44.35,1,9.75,2:14.74,2,9.73,2:14.83,3,10.06,,5,9.90,2:15.45,4,9.92,2:15.26,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
6,14.51,,7,21.60,3:05.95,1,9.97,2:24.71,2,9.93,2:24.76,5,10.43,,4,9.90,2:25.35,3,9.70,2:24.96,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
6,13.95,,5,18.59,3:24.520,3,10.23,2:34.925,1,9.70,2:34.439,5,11.34,,4,9.95,2:35.293,2,9.66,2:34.610,2016-2017,ISU World Cup 2016/17 - Minsk (BLR),1500m,w,Semifinals,1
