START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.44,9.44,5,9.81,9.81,3,9.54,9.54,1,9.31,9.31,4,9.68,9.68,6,10.03,10.03,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
2,13.37,22.81,5,13.34,23.15,3,13.37,22.91,1,13.36,22.67,4,13.35,23.03,6,13.31,23.34,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
3,12.34,35.15,1,11.75,34.90,5,12.35,35.26,2,12.36,35.03,6,12.32,35.35,4,11.85,35.19,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
4,10.68,45.83,3,10.82,45.72,6,10.72,45.98,4,10.80,45.83,1,10.08,45.43,2,10.38,45.57,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
5,10.03,55.86,4,10.04,55.76,6,9.97,55.95,3,9.83,55.66,1,10.03,55.46,2,10.03,55.60,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
5,10.42,1:06.28,4,10.41,1:06.17,6,10.40,1:06.35,3,10.39,1:06.05,1,10.35,1:05.81,2,10.33,1:05.93,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
5,10.05,1:16.33,4,10.07,1:16.24,6,10.09,1:16.44,3,10.17,1:16.22,2,10.30,1:16.11,1,10.10,1:16.03,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
3,9.24,1:25.57,1,9.19,1:25.43,5,9.26,1:25.70,2,9.29,1:25.51,4,9.48,1:25.59,6,9.70,1:25.73,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
3,9.26,1:34.83,1,9.24,1:34.67,2,9.11,1:34.81,4,9.43,1:34.94,5,9.45,1:35.04,6,9.47,1:35.20,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
3,9.43,1:44.26,1,9.39,1:44.06,2,9.36,1:44.17,5,9.42,1:44.36,4,9.30,1:44.34,6,9.34,1:44.54,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
6,9.79,1:54.05,1,9.46,1:53.52,2,9.46,1:53.63,5,9.62,1:53.98,3,9.37,1:53.71,4,9.35,1:53.89,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
6,9.57,2:03.62,1,9.19,2:02.71,2,9.38,2:03.01,4,9.28,2:03.26,2,9.30,2:03.01,5,9.65,2:03.54,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
5,9.50,2:13.12,1,9.19,2:11.90,3,9.40,2:12.41,4,9.23,2:12.49,2,9.13,2:12.14,6,10.36,2:13.90,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
5,9.66,2:22.765,1,9.43,2:21.309,3,9.78,2:22.168,4,9.86,2:22.327,2,9.34,2:21.468,6,11.28,2:25.164,2015-2016,ISU World Junior Short Track Speed Skating Championships® 2016,1500m,m,Quarterfinals,1
