START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.79,9.79,1,9.65,9.65,3,9.94,9.94,5,10.26,10.26,6,10.42,10.42,4,10.14,10.14,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
2,13.80,23.59,1,13.82,23.47,3,13.79,23.73,5,13.83,24.09,6,13.81,24.23,4,13.81,23.95,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
3,13.55,37.14,1,13.55,37.02,2,13.38,37.11,5,13.49,37.58,6,13.50,37.73,4,13.49,37.44,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
3,12.07,49.21,2,12.08,49.10,1,11.87,48.98,5,11.87,49.45,6,11.80,49.53,4,11.92,49.36,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
3,11.57,1:00.78,2,11.54,1:00.64,1,11.63,1:00.61,5,11.66,1:01.11,6,11.71,1:01.24,4,11.64,1:01.00,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
3,10.92,1:11.70,1,10.86,1:11.50,2,10.98,1:11.59,5,10.78,1:11.89,6,10.75,1:11.99,4,10.77,1:11.77,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,10.40,1:22.10,2,10.32,1:21.82,3,10.33,1:21.92,6,10.32,1:22.21,4,10.03,1:22.02,1,9.97,1:21.74,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,9.90,1:32.00,2,9.99,1:31.81,4,9.97,1:31.89,6,9.91,1:32.12,3,9.83,1:31.85,1,10.00,1:31.74,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,10.09,1:42.09,3,10.11,1:41.92,4,10.12,1:42.01,6,10.09,1:42.21,2,9.98,1:41.83,1,9.97,1:41.71,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,9.97,1:52.06,3,9.89,1:51.81,4,9.94,1:51.95,6,10.05,1:52.26,2,9.90,1:51.73,1,9.94,1:51.65,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,9.85,2:01.91,3,9.78,2:01.59,4,9.87,2:01.82,6,10.29,2:02.55,2,9.75,2:01.48,1,9.73,2:01.38,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,9.96,2:11.87,3,9.65,2:11.24,4,9.97,2:11.79,6,10.73,2:13.28,2,9.68,2:11.16,1,9.63,2:11.01,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
5,10.38,2:22.25,3,10.20,2:21.44,4,10.42,2:22.21,6,11.20,2:24.48,2,10.11,2:21.27,1,9.74,2:20.75,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
3,10.33,2:32.58,4,11.24,2:32.68,5,11.42,2:33.63,6,11.68,2:36.16,2,10.33,2:31.60,1,9.99,2:30.74,2019-2020,ISU European Short Track Championships 2020 - Debrecen (HUN),1500m,w,Quarterfinals,4
