START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
4,9.16,9.16,1,8.71,8.71,3,8.99,8.99,6,9.41,9.41,5,9.26,9.26,2,8.80,8.80,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,12.14,21.30,1,12.10,20.81,4,12.21,21.20,6,12.16,21.57,3,11.92,21.18,2,12.08,20.88,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,11.10,32.40,1,11.17,31.99,4,11.02,32.22,6,10.99,32.56,3,11.01,32.20,2,11.12,32.01,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,10.99,43.39,1,10.89,42.88,3,10.94,43.17,6,11.10,43.67,4,11.06,43.26,2,11.01,43.03,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
4,10.65,54.05,1,10.80,53.69,3,10.74,53.92,6,10.52,54.19,5,10.85,54.11,2,10.75,53.78,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,10.49,1:04.54,2,10.40,1:04.09,4,10.51,1:04.43,6,10.56,1:04.76,3,10.24,1:04.36,1,10.30,1:04.08,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,10.24,1:14.79,2,10.22,1:14.32,3,10.24,1:14.67,6,10.20,1:14.97,4,10.37,1:14.73,1,10.20,1:14.29,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,10.07,1:24.87,1,10.18,1:24.50,3,10.01,1:24.68,6,10.19,1:25.17,4,10.02,1:24.76,2,10.22,1:24.51,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,9.84,1:34.71,2,9.71,1:34.22,3,9.65,1:34.34,6,9.92,1:35.09,4,9.63,1:34.39,1,9.65,1:34.17,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,9.87,1:44.59,1,9.38,1:43.60,2,9.40,1:43.74,6,9.89,1:44.99,4,9.45,1:43.84,3,9.58,1:43.75,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
4,10.15,1:54.74,2,9.62,1:53.22,6,27.19,2:10.94,5,10.06,1:55.06,1,9.20,1:53.05,3,9.66,1:53.42,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
4,10.44,2:05.19,2,9.62,2:02.85,6,31.29,2:42.24,5,10.33,2:05.39,1,9.35,2:02.41,3,9.47,2:02.90,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,10.95,2:16.14,3,9.86,2:12.72,6,12.08,2:54.33,4,10.64,2:16.03,1,9.36,2:11.77,2,9.75,2:12.65,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
5,12.28,2:28.414,3,10.33,2:23.046,0,,DQ,4,10.81,2:26.832,1,10.25,2:22.011,2,9.95,2:22.599,2008-2009,"Samsung ISU World Cup 2008/2009, BUL, Sofia",1500m,m,Heats,1
