MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME,CHANG Yu-Chuan POSITION,CHANG Yu-Chuan LAP TIME,CHANG Yu-Chuan ELAPSED TIME,SELLIER Diane POSITION,SELLIER Diane LAP TIME,SELLIER Diane ELAPSED TIME,Sebastian Fidel LENCINAS POSITION,Sebastian Fidel LENCINAS LAP TIME,Sebastian Fidel LENCINAS ELAPSED TIME,Piius Yie Kiat SNG POSITION,Piius Yie Kiat SNG LAP TIME,Piius Yie Kiat SNG ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME
1,8.57,,4,8.85,8.85,6,9.01,9.01,2,8.65,,5,8.97,8.97,3,8.69,8.69
1,10.87,,5,10.88,19.73,4,10.52,19.53,2,10.86,,6,10.88,19.85,2,10.82,19.51
1,10.61,,5,10.75,30.48,4,10.81,30.34,3,10.73,,6,10.75,30.60,2,10.62,30.13
1,10.87,,5,10.81,41.29,3,10.74,41.08,4,10.95,,6,10.83,41.43,2,10.89,41.02
1,11.13,,5,11.13,52.42,3,11.16,52.24,4,11.15,,6,11.10,52.53,2,11.12,52.14
1,11.11,,5,11.17,1:03.59,4,11.17,1:03.41,3,11.05,,6,11.22,1:03.75,2,11.13,1:03.27
1,10.70,,5,10.73,1:14.32,3,10.65,1:14.06,4,10.80,,6,10.71,1:14.46,2,10.71,1:13.98
1,10.52,,4,10.52,1:24.84,2,10.46,1:24.52,3,10.42,,5,10.49,1:24.95,6,11.76,1:25.74
2,10.00,,4,9.90,1:34.74,1,9.68,1:34.20,3,9.85,,5,10.04,1:34.99,6,9.66,1:35.40
2,9.40,,4,9.82,1:44.56,1,9.49,1:43.69,3,9.57,,5,9.70,1:44.69,5,9.29,1:44.69
6,19.85,,5,10.31,1:54.87,1,9.38,1:53.07,2,9.67,,4,10.04,1:54.73,3,9.36,1:54.05
6,20.52,,5,10.83,2:05.70,1,9.51,2:02.58,3,9.86,,4,10.18,2:04.91,2,9.49,2:03.54
6,13.18,,5,11.25,2:16.95,1,9.78,2:12.36,3,10.11,,4,10.54,2:15.45,2,9.67,2:13.21
6,17.15,2:54.48,5,11.59,2:28.54,1,10.32,2:22.68,3,10.36,,4,10.86,2:26.31,2,9.97,2:23.18
