ZHANG Chutong POSITION,ZHANG Chutong LAP TIME,ZHANG Chutong ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,LEE Suyoun POSITION,LEE Suyoun LAP TIME,LEE Suyoun ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME
3,10.06,10.06,5,10.41,10.41,4,10.20,10.20,6,10.56,10.56,2,9.93,9.93,1,9.87,9.87
3,13.44,23.50,5,13.37,23.78,4,13.40,23.60,6,13.31,23.87,2,13.44,23.37,1,13.40,23.27
1,12.85,36.35,2,12.59,36.37,5,13.00,36.60,6,12.95,36.82,3,13.10,36.47,4,13.24,36.51
3,11.88,48.23,1,11.72,48.09,4,11.74,48.34,6,11.94,48.76,2,11.72,48.19,5,12.08,48.59
4,11.94,1:00.17,2,11.80,59.89,3,11.67,1:00.01,6,11.67,1:00.43,1,11.59,59.78,5,11.68,1:00.27
5,11.94,1:12.11,2,12.01,1:11.90,3,11.99,1:12.00,6,11.88,1:12.31,1,12.00,1:11.78,4,11.80,1:12.07
5,11.08,1:23.19,3,11.20,1:23.10,4,11.18,1:23.18,6,11.16,1:23.47,2,11.23,1:23.01,1,10.84,1:22.91
1,9.85,1:33.04,4,10.40,1:33.50,5,10.39,1:33.57,6,10.33,1:33.80,3,10.41,1:33.42,2,10.32,1:33.23
1,9.99,1:43.03,4,9.73,1:43.23,3,9.64,1:43.21,6,9.62,1:43.42,5,9.85,1:43.27,2,9.89,1:43.12
1,9.64,1:52.67,5,9.90,1:53.13,3,9.68,1:52.89,6,9.86,1:53.28,4,9.72,1:52.99,2,9.63,1:52.75
2,9.58,2:02.25,5,9.53,2:02.66,3,9.44,2:02.33,6,9.48,2:02.76,4,9.45,2:02.44,1,9.38,2:02.13
2,9.46,2:11.71,6,9.98,2:12.64,3,9.50,2:11.83,5,9.28,2:12.04,4,9.49,2:11.93,1,9.45,2:11.58
2,9.46,2:21.17,6,11.29,2:23.93,3,9.45,2:21.28,5,9.42,2:21.46,4,9.44,2:21.37,1,9.49,2:21.07
2,9.56,2:30.718,6,12.13,2:36.048,5,,2:30.951,3,9.37,2:30.820,4,,2:30.941,1,9.60,2:30.648
