START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,START_POS_7 POSITION,START_POS_7 LAP TIME,START_POS_7 ELAPSED TIME,season,competition,event,gender,round,race
2,9.32,9.32,5,9.77,,7,10.17,10.17,4,9.61,9.61,3,9.48,9.48,1,9.25,,6,10.01,10.01,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
1,13.24,22.56,5,13.31,,7,13.18,23.35,4,13.32,22.93,3,13.34,22.82,2,13.48,,6,13.25,23.26,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
1,12.48,35.04,5,12.35,,7,12.54,35.89,4,12.37,35.30,2,12.32,35.14,3,12.47,,6,12.50,35.76,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
1,11.73,46.77,5,11.66,,7,11.52,47.41,3,11.63,46.93,2,11.72,46.86,4,11.76,,6,11.55,47.31,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
1,11.27,58.04,4,11.25,,7,11.32,58.73,3,11.31,58.24,2,11.31,58.17,5,11.42,,6,11.32,58.63,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
1,10.69,1:08.73,5,10.68,,7,10.62,1:09.35,4,10.69,1:08.93,3,10.66,1:08.83,2,10.42,,6,10.62,1:09.25,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
2,10.11,1:18.84,4,9.96,,7,9.99,1:19.34,5,10.14,1:19.07,3,10.06,1:18.89,1,9.97,,6,10.00,1:19.25,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
3,10.42,1:29.26,4,10.31,,7,10.16,1:29.50,6,10.37,1:29.44,2,10.32,1:29.21,1,10.33,,5,10.15,1:29.40,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
2,9.87,1:39.13,5,10.07,,1,9.59,1:39.09,6,10.02,1:39.46,3,10.04,1:39.25,7,24.20,,4,9.92,1:39.32,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
2,9.55,1:48.68,5,9.80,,1,9.52,1:48.61,6,9.79,1:49.25,4,9.56,1:48.81,7,18.44,,3,9.37,1:48.69,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
4,9.80,1:58.48,5,9.90,,2,9.80,1:58.41,6,9.85,1:59.10,3,9.62,1:58.43,7,13.29,,1,9.40,1:58.09,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
3,9.99,2:08.47,6,10.20,,4,10.18,2:08.59,5,10.07,2:09.17,2,9.75,2:08.18,7,12.87,,1,9.60,2:07.69,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
3,10.35,2:18.82,6,10.37,,4,10.29,2:18.88,5,10.36,2:19.53,2,10.06,2:18.24,7,12.51,,1,9.79,2:17.48,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
3,10.87,2:29.69,5,11.14,,6,26.52,2:45.40,4,10.67,2:30.20,2,10.51,2:28.75,7,22.20,3:12.61,1,9.96,2:27.44,2016-2017,ISU World Cup 2016/17 - Dresden (GER),1500m(2),w,Heats,6
