START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.680,8.680,4,8.870,8.870,6,9.250,9.250,5,8.870,8.870,2,8.700,8.700,3,8.840,8.840,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
3,12.380,21.070,4,12.300,21.180,6,12.500,21.760,2,12.190,21.070,1,12.360,21.060,5,12.400,21.250,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
3,11.510,32.580,4,11.420,32.610,6,14.110,35.880,2,11.500,32.570,1,11.380,32.450,5,11.530,32.780,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
2,11.050,43.640,3,11.070,43.680,6,8.390,44.280,5,11.490,44.060,1,10.910,43.370,4,11.120,43.910,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
1,10.780,54.420,3,10.930,54.620,6,10.710,55.000,5,10.770,54.840,2,11.110,54.480,4,10.790,54.700,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
2,10.460,1:04.880,4,10.330,1:04.950,6,10.220,1:05.220,5,10.290,1:05.130,1,10.130,1:04.610,3,10.190,1:04.900,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
5,10.370,1:15.260,2,10.140,1:15.100,1,9.560,1:14.780,6,10.210,1:15.350,4,10.540,1:15.160,3,10.210,1:15.110,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
6,10.080,1:25.340,3,9.870,1:24.970,2,10.040,1:24.830,4,9.700,1:25.050,1,9.560,1:24.730,5,10.220,1:25.330,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
6,10.180,1:35.520,3,10.370,1:35.340,2,10.380,1:35.210,4,10.300,1:35.350,1,10.420,1:35.150,5,10.130,1:35.460,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
5,10.250,1:45.780,4,10.160,1:45.510,2,10.150,1:45.370,3,10.110,1:45.460,1,10.050,1:45.210,6,10.370,1:45.840,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
6,9.860,1:55.650,3,9.900,1:55.420,2,9.960,1:55.340,4,10.010,1:55.480,1,9.750,1:54.970,5,9.740,1:55.580,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
5,10.100,2:05.750,2,9.980,2:05.400,1,9.890,2:05.230,4,10.130,2:05.620,3,10.430,2:05.400,6,10.390,2:05.980,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
5,10.550,2:16.300,2,10.330,2:15.740,1,10.120,2:15.360,4,10.300,2:15.920,3,10.490,2:15.900,6,10.580,2:16.560,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
4,11.000,2:27.300,2,10.750,2:26.490,1,10.100,2:25.460,6,23.680,2:39.600,3,11.150,2:27.050,5,10.850,2:27.420,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),w,Heats,1
