START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
5,9.948,9.948,3,9.764,9.764,4,9.941,9.941,2,9.691,9.691,1,9.624,9.624,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
5,14.194,24.141,4,14.072,23.836,3,13.709,23.649,1,13.848,23.539,2,13.945,23.569,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
5,12.383,36.523,3,12.516,36.351,4,12.815,36.464,2,12.767,36.305,1,12.543,36.111,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
5,12.243,48.766,2,12.200,48.551,4,12.206,48.670,3,12.280,48.585,1,12.261,48.372,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
5,11.880,1:00.646,4,11.897,1:00.447,2,11.708,1:00.377,3,11.837,1:00.421,1,11.889,1:00.260,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
4,11.508,1:12.153,2,11.439,1:11.885,3,11.754,1:12.131,5,11.765,1:12.186,1,11.581,1:11.840,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
3,11.520,1:23.672,2,11.622,1:23.507,5,11.863,1:23.993,4,11.508,1:23.693,1,11.447,1:23.287,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
3,11.294,1:34.966,2,11.411,1:34.917,5,11.570,1:35.563,4,11.307,1:35.000,1,11.587,1:34.873,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,10.393,1:45.359,2,10.554,1:45.470,4,11.457,1:47.019,5,13.462,1:48.461,3,10.637,1:45.509,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,11.085,1:56.443,3,11.349,1:56.819,5,11.829,1:58.847,4,8.445,1:56.906,2,11.118,1:56.626,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,11.255,2:07.698,3,11.244,2:08.062,5,12.106,2:10.953,4,11.205,2:08.110,2,11.433,2:08.059,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,10.830,2:18.527,2,10.800,2:18.862,5,12.383,2:23.335,3,10.934,2:19.044,4,12.729,2:20.788,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,10.638,2:29.165,4,10.759,2:29.621,5,12.396,2:35.731,3,10.574,2:29.617,2,8.379,2:29.166,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
1,10.94,2:40.102,4,19.21,2:48.822,3,12.64,2:48.369,2,10.63,2:40.243,5,19.87,2:49.031,2003-2004,"2004 World Junior Championships, China",1500M,w,Heats,1
