START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
6,9.52,9.52,1,8.99,8.99,2,9.12,9.12,4,9.34,9.34,5,9.36,9.36,3,9.21,9.21,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
6,13.27,22.79,1,13.11,22.10,2,13.13,22.25,4,13.18,22.52,5,13.31,22.67,3,13.19,22.40,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
5,12.20,34.99,1,12.42,34.52,2,12.46,34.71,4,12.43,34.95,6,12.41,35.08,3,12.41,34.81,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
3,11.48,46.47,1,11.86,46.38,6,11.96,46.67,2,11.46,46.41,5,11.47,46.55,4,11.72,46.53,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
3,10.49,56.96,2,10.46,56.84,6,10.64,57.31,1,10.37,56.78,5,10.63,57.18,4,10.51,57.04,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.88,1:06.84,2,10.08,1:06.92,6,10.01,1:07.32,3,10.18,1:06.96,5,10.00,1:07.18,4,10.04,1:07.08,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.53,1:16.37,3,9.53,1:16.45,6,9.43,1:16.75,2,9.48,1:16.44,4,9.40,1:16.58,5,9.59,1:16.67,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.17,1:25.54,3,9.26,1:25.71,6,9.17,1:25.92,2,9.20,1:25.64,4,9.24,1:25.82,5,9.24,1:25.91,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
2,9.27,1:34.81,3,9.18,1:34.89,4,9.10,1:35.02,1,9.14,1:34.78,5,9.21,1:35.03,6,9.25,1:35.16,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
2,9.16,1:43.97,6,33.96,2:08.85,5,9.23,1:44.25,1,9.11,1:43.89,3,9.01,1:44.04,4,8.99,1:44.15,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
2,9.14,1:53.11,6,22.48,2:31.33,4,9.08,1:53.33,1,9.21,1:53.10,3,9.17,1:53.21,5,9.18,1:53.33,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.03,2:02.14,6,14.76,2:46.09,4,9.08,2:02.41,2,9.20,2:02.30,3,9.10,2:02.31,5,9.31,2:02.64,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.14,2:11.28,6,13.36,2:59.45,4,9.12,2:11.53,3,9.19,2:11.49,2,9.08,2:11.39,5,9.55,2:12.19,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
1,9.23,2:20.507,5,15.16,3:14.602,0,,PEN,3,9.45,2:20.938,2,9.28,2:20.669,4,11.18,2:23.364,2012-2013,"2013 ISU European Championships, Malmo (SWE)",1500m,m,Semifinals,1
