START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
1,10.10,10.10,2,10.22,10.22,3,10.37,10.37,5,10.57,10.57,4,10.47,10.47,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,15.26,25.36,3,15.31,25.53,4,15.37,25.74,5,15.35,25.92,2,14.91,25.38,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,14.12,39.48,2,14.08,39.61,4,14.28,40.02,5,14.32,40.24,3,14.37,39.75,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,13.36,52.84,2,13.34,52.95,4,13.30,53.32,5,13.30,53.54,3,13.34,53.09,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,12.35,1:05.19,2,12.32,1:05.27,3,11.99,1:05.31,5,11.91,1:05.45,4,12.31,1:05.40,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
3,10.80,1:15.99,2,10.60,1:15.87,1,10.49,1:15.80,4,10.56,1:16.01,5,10.69,1:16.09,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
3,10.49,1:26.48,1,10.58,1:26.45,2,10.67,1:26.47,5,10.71,1:26.72,4,10.54,1:26.63,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,9.41,1:35.89,2,9.52,1:35.97,3,9.68,1:36.15,5,9.65,1:36.37,4,9.58,1:36.21,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,9.49,1:45.38,2,9.50,1:45.47,3,9.48,1:45.63,4,9.34,1:45.71,5,9.50,1:45.71,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,9.44,1:54.82,3,9.46,1:54.93,2,9.23,1:54.86,4,9.39,1:55.10,5,9.40,1:55.11,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
2,9.14,2:03.96,3,9.12,2:04.05,1,8.99,2:03.85,5,9.19,2:04.29,4,9.05,2:04.16,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,8.80,2:12.76,3,8.97,2:13.02,2,9.03,2:12.88,5,9.01,2:13.30,4,8.95,2:13.11,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,8.74,2:21.50,4,8.71,2:21.73,2,8.72,2:21.60,5,8.89,2:22.19,3,8.61,2:21.72,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
1,8.72,2:30.219,4,8.94,2:30.664,2,8.67,2:30.265,5,9.24,2:31.423,3,8.67,2:30.389,2014-2015,ISU World Cup 2014/15 - Dresden (GER),1500m(2),m,Heats,3
