START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
0,,,0,,,0,10.247,10.247,0,,,0,10.619,10.619,0,10.460,10.460,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,15.119,25.366,0,,,0,14.976,25.595,0,15.260,25.720,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,2:38.358,0,,1:13.380,0,13.205,38.571,0,,2:46.604,0,13.333,38.928,0,13.374,39.094,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,35.562,3:13.921,0,10.731,1:24.110,0,12.278,50.849,0,,,0,12.093,51.021,0,12.123,51.217,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,21.894,1:46.005,0,12.032,1:02.881,0,,,0,11.817,1:02.838,0,11.921,1:03.138,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,1:45.693,3:31.697,0,10.746,1:13.627,0,,,0,10.654,1:13.492,0,10.798,1:13.935,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,3.320,3:35.017,0,10.738,1:24.365,0,,,0,10.703,1:24.195,0,10.730,1:24.665,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,9.068,3:44.085,0,11.386,1:35.751,0,,,0,11.487,1:35.682,0,11.427,1:36.092,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,13.073,3:57.158,0,10.617,1:46.368,0,,,0,10.753,1:46.434,0,10.648,1:46.741,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,9.996,1:56.364,0,,,0,10.029,1:56.464,0,9.919,1:56.659,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,9.828,2:06.192,0,,,0,9.697,2:06.161,0,9.791,2:06.450,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,9.835,2:16.027,0,,,0,9.975,2:16.135,0,9.737,2:16.187,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,10.165,2:26.192,0,,,0,10.628,2:26.764,0,10.028,2:26.215,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
0,,,0,,,0,,,0,,,0,,,0,,,2006-2007,"23rd Winter Universade, Italy, Torino",1500m,w,Heats,1
