START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,7.620,7.620,2,7.970,7.970,3,8.160,8.160,6,8.770,8.770,5,8.600,8.600,4,8.280,8.280,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
1,11.330,18.950,2,11.090,19.060,5,11.360,19.530,3,10.310,19.090,6,10.930,19.540,4,11.130,19.420,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,10.580,29.540,3,10.540,29.600,5,10.500,30.030,4,10.700,29.790,1,9.860,29.400,6,10.760,30.180,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
4,10.370,39.910,2,10.200,39.800,6,10.000,40.040,3,10.090,39.880,1,10.260,39.660,5,9.800,39.980,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
3,10.380,50.290,4,10.520,50.330,5,10.470,50.510,2,10.120,50.000,1,10.220,49.880,6,10.810,50.800,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,10.380,1:00.680,3,10.510,1:00.850,5,10.410,1:00.930,1,10.640,1:00.640,4,10.980,1:00.870,6,10.490,1:01.290,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,10.220,1:10.910,3,10.230,1:11.080,4,10.390,1:11.320,1,10.100,1:10.740,6,10.620,1:11.500,5,10.090,1:11.390,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,9.510,1:20.420,4,9.640,1:20.730,5,9.460,1:20.790,1,9.490,1:20.240,6,9.930,1:21.430,3,9.280,1:20.670,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,9.370,1:29.790,6,9.420,1:30.150,5,9.340,1:30.130,1,9.440,1:29.680,3,8.620,1:30.050,4,9.400,1:30.080,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,9.660,1:39.450,4,9.750,1:39.910,5,10.010,1:40.150,1,9.710,1:39.390,6,10.270,1:40.330,3,9.550,1:39.630,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
1,9.600,1:49.060,3,9.640,1:49.560,4,9.660,1:49.810,6,10.920,1:50.320,5,9.480,1:49.820,2,9.520,1:49.160,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,9.880,1:58.940,3,9.600,1:59.160,6,10.000,1:59.820,4,8.950,1:59.270,5,9.840,1:59.660,1,9.700,1:58.860,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
2,9.610,2:08.560,3,9.730,2:08.900,6,9.790,2:09.620,4,9.760,2:09.030,5,9.720,2:09.390,1,9.480,2:08.340,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
5,28.820,2:37.380,6,42.620,2:51.520,4,11.460,2:21.080,3,11.560,2:20.600,2,10.180,2:19.570,1,10.260,2:18.610,2007-2008,"Samsung ISU World Cup 2007/2008, China, Harbin",1500m(2),m,Heats,5
