START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
2,9.13,9.13,1,8.60,8.60,5,9.33,,3,9.17,9.17,6,9.51,9.51,4,9.23,9.23,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
3,10.71,19.84,1,10.85,19.45,5,10.82,,4,10.83,20.00,6,10.74,20.25,2,10.43,19.66,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
3,9.69,29.53,1,9.80,29.25,5,9.56,,3,9.53,29.53,6,9.61,29.86,2,9.73,29.39,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
5,9.66,39.19,1,9.50,38.75,4,9.39,,3,9.47,39.00,6,9.43,39.29,2,9.51,38.90,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
5,9.33,48.52,2,9.37,48.12,4,9.29,,3,9.26,48.26,6,9.35,48.64,1,9.21,48.11,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
5,9.35,57.87,4,9.59,57.71,3,9.30,,2,9.30,57.56,6,9.31,57.95,1,9.37,57.48,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.47,1:07.34,5,9.81,1:07.52,3,9.56,,2,9.54,1:07.10,5,9.57,1:07.52,1,9.52,1:07.00,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.64,1:16.98,6,9.74,1:17.26,3,9.59,,2,9.61,1:16.71,5,9.57,1:17.09,1,9.65,1:16.65,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.37,1:26.35,6,9.76,1:27.02,3,9.37,,1,9.30,1:26.01,5,9.49,1:26.58,2,9.47,1:26.12,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.49,1:35.84,6,9.95,1:36.97,3,9.46,,2,9.56,1:35.57,5,9.58,1:36.16,1,9.34,1:35.46,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.44,1:45.28,6,10.12,1:47.09,3,9.42,,2,9.42,1:44.99,5,9.88,1:46.04,1,9.42,1:44.88,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.36,1:54.64,6,10.48,1:57.57,3,9.32,,2,9.31,1:54.30,5,10.26,1:56.30,1,9.32,1:54.20,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
4,9.44,2:04.08,6,10.76,2:08.33,3,9.29,,2,9.32,2:03.62,5,10.71,2:07.01,1,9.40,2:03.60,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
3,9.76,2:13.844,5,10.72,2:19.057,2,9.39,,1,9.34,2:12.96,4,11.00,2:18.012,0,10.20,2:13.80,2019-2020,ISU World Cup 2019/20 - Dresden (GER),1500m(2),m,Quarterfinals,2
