START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
4,9.05,9.05,2,8.66,8.66,5,9.16,9.16,1,8.39,8.39,3,8.83,8.83,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,11.70,20.75,2,11.77,20.43,5,11.64,20.80,1,11.93,20.32,3,11.82,20.66,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,11.10,31.85,2,11.17,31.60,5,11.06,31.86,1,11.22,31.54,3,11.06,31.72,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
5,11.08,42.94,2,11.09,42.70,4,10.91,42.78,1,10.99,42.54,3,11.01,42.74,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
5,9.92,52.86,3,9.95,52.66,1,9.69,52.47,2,9.98,52.52,4,9.99,52.74,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
5,9.98,1:02.85,3,10.05,1:02.71,1,10.10,1:02.58,4,10.19,1:02.72,2,9.97,1:02.71,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
5,10.20,1:13.05,2,10.06,1:12.78,1,10.20,1:12.78,3,10.11,1:12.83,4,10.21,1:12.93,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
5,9.72,1:22.78,3,9.87,1:22.65,1,9.75,1:22.54,2,9.74,1:22.57,4,9.78,1:22.72,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,9.81,1:32.59,3,9.79,1:32.45,1,9.84,1:32.38,2,9.86,1:32.44,5,9.92,1:32.64,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,9.62,1:42.22,3,9.70,1:42.15,1,9.59,1:41.97,2,9.71,1:42.15,5,9.68,1:42.32,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,9.57,1:51.79,1,9.36,1:51.52,3,9.80,1:51.78,2,9.45,1:51.60,5,9.60,1:51.93,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
4,9.37,2:01.16,1,9.45,2:00.97,5,9.67,2:01.46,2,9.46,2:01.07,3,9.23,2:01.16,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
3,9.32,2:10.48,1,9.23,2:10.21,5,10.03,2:11.49,4,9.74,2:10.81,2,9.19,2:10.35,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
3,9.51,2:19.988,2,9.64,2:19.847,5,10.89,2:22.371,4,9.67,2:20.472,1,9.50,2:19.843,2008-2009,"Samsung ISU World Cup 2008/2009, JPN, Nagano",1500m(1),m,Heats,3
