START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.07,9.07,5,9.48,9.48,1,8.97,8.97,3,9.18,9.18,4,9.32,9.32,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,13.02,22.09,2,12.34,21.82,3,13.02,21.99,1,12.54,21.72,4,12.74,22.06,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,11.55,33.64,3,11.61,33.43,1,11.31,33.30,2,11.58,33.30,4,11.46,33.52,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,10.71,44.35,4,10.84,44.27,1,10.69,43.99,2,10.76,44.06,3,10.65,44.17,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,11.10,55.45,4,11.05,55.32,2,11.07,55.06,1,10.97,55.03,3,11.05,55.22,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,10.67,1:06.12,4,10.73,1:06.05,2,10.80,1:05.86,1,10.70,1:05.73,3,10.76,1:05.98,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
5,10.50,1:16.62,4,10.55,1:16.60,1,10.41,1:16.27,2,10.58,1:16.31,3,10.53,1:16.51,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
2,9.53,1:26.15,4,9.63,1:26.23,1,9.85,1:26.12,3,9.89,1:26.20,5,9.80,1:26.31,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
1,9.23,1:35.38,2,9.23,1:35.46,3,9.44,1:35.56,4,9.48,1:35.68,5,9.50,1:35.81,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
1,9.47,1:44.85,3,9.48,1:44.94,2,9.35,1:44.91,4,9.41,1:45.09,5,9.38,1:45.19,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
2,9.25,1:54.10,3,9.29,1:54.23,1,8.95,1:53.86,4,9.28,1:54.37,5,9.32,1:54.51,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
2,8.90,2:03.00,3,9.05,2:03.28,1,8.91,2:02.77,4,9.05,2:03.42,5,9.05,2:03.56,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
2,8.99,2:11.99,4,9.22,2:12.50,1,9.03,2:11.80,3,9.06,2:12.48,5,9.08,2:12.64,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
2,9.28,2:21.264,4,9.41,2:21.902,1,9.27,2:21.063,3,9.28,2:21.758,5,9.48,2:22.115,2012-2013,"ISU World Cup 2012/2013, Calgary (CAN)",1500m,m,RepHeats,2
