START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,8.430,8.430,5,9.230,9.230,3,8.890,8.890,6,9.300,9.300,4,8.960,8.960,2,8.790,8.790,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
2,12.770,21.210,1,11.880,21.110,5,12.810,21.700,6,12.430,21.740,4,12.650,21.610,3,12.670,21.460,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
1,12.190,33.400,2,12.290,33.410,6,12.130,33.840,5,12.030,33.780,4,12.160,33.780,3,12.220,33.690,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
3,11.830,45.230,1,11.650,45.060,2,11.320,45.160,6,11.930,45.710,5,11.810,45.590,4,11.710,45.400,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
1,10.420,55.650,2,10.660,55.720,4,10.670,55.840,6,10.470,56.180,5,10.510,56.100,3,10.410,55.820,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
2,10.180,1:05.840,3,10.140,1:05.870,4,10.100,1:05.940,6,10.020,1:06.210,5,10.010,1:06.120,1,9.930,1:05.760,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
2,9.960,1:15.800,4,9.990,1:15.870,5,10.120,1:16.070,6,10.040,1:16.250,1,9.320,1:15.450,3,10.100,1:15.860,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
1,9.860,1:25.670,3,10.070,1:25.940,4,9.910,1:25.980,5,9.840,1:26.090,6,16.330,1:31.780,2,9.930,1:25.800,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
1,9.990,1:35.670,3,10.010,1:35.950,4,9.980,1:35.960,5,9.930,1:36.020,6,11.310,1:43.100,2,10.030,1:35.840,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
1,10.000,1:45.670,2,9.780,1:45.730,3,9.950,1:45.920,5,10.030,1:46.060,6,14.510,1:57.610,4,10.090,1:45.940,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
3,9.980,1:55.650,1,9.820,1:55.560,4,9.840,1:55.760,5,9.870,1:55.930,6,12.690,2:10.310,2,9.700,1:55.640,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
3,9.810,2:05.470,1,9.650,2:05.210,5,9.820,2:05.580,2,9.530,2:05.470,6,12.480,2:22.790,4,9.840,2:05.480,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
3,9.760,2:15.230,2,9.770,2:14.980,5,9.880,2:15.460,1,9.470,2:14.940,6,11.660,2:34.450,4,9.810,2:15.300,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
4,9.890,2:25.130,2,9.960,2:24.940,5,9.690,2:25.160,1,9.710,2:24.650,6,12.110,2:46.560,3,9.780,2:25.090,2007-2008,"Samsung ISU World Cup 2007/2008, Japan, Kobe",1500m,m,Semifinals,3
