START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,10.85,10.85,3,10.98,10.98,4,11.20,11.20,1,10.70,10.70,5,11.39,11.39,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,16.46,27.31,3,16.45,27.43,4,16.43,27.63,1,16.49,27.19,5,16.42,27.81,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,15.33,42.64,3,15.33,42.76,4,15.30,42.93,1,15.33,42.52,5,15.27,43.08,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,15.21,57.85,4,15.23,57.99,3,14.99,57.92,1,15.15,57.67,5,15.19,58.27,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
3,15.00,1:12.85,4,14.98,1:12.97,2,14.84,1:12.76,1,14.92,1:12.59,5,14.89,1:13.16,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,14.35,1:27.20,1,14.19,1:27.16,4,14.55,1:27.31,3,14.63,1:27.22,5,14.37,1:27.53,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,11.89,1:39.09,1,11.85,1:39.01,4,11.87,1:39.18,3,11.92,1:39.14,5,11.83,1:39.36,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
2,11.60,1:50.69,1,11.62,1:50.63,4,11.66,1:50.84,3,11.58,1:50.72,5,11.67,1:51.03,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,9.54,2:00.23,3,9.80,2:00.43,2,9.52,2:00.36,4,10.03,2:00.75,5,9.76,2:00.79,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,9.38,2:09.61,3,9.39,2:09.82,2,9.38,2:09.74,4,9.20,2:09.95,5,9.32,2:10.11,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,9.34,2:18.95,3,9.30,2:19.12,2,9.36,2:19.10,4,9.25,2:19.20,5,9.22,2:19.33,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,9.03,2:27.98,3,9.13,2:28.25,2,9.06,2:28.16,4,9.18,2:28.38,5,9.20,2:28.53,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,8.97,2:36.95,3,9.11,2:37.36,2,9.10,2:37.26,4,9.02,2:37.40,5,9.02,2:37.55,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
1,8.82,2:45.77,5,9.72,2:47.08,2,9.64,2:46.90,3,9.60,2:47.00,4,9.49,2:47.04,2017-2018,ISU World Junior Short Track Championships 2018 - Tomaszow Mazowiecki (POL),1500m,m,Heats,7
