START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
1,9.28,9.28,4,9.41,9.41,2,9.30,9.30,5,9.60,9.60,3,9.37,9.37,6,9.80,9.80,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
4,12.26,21.54,3,12.08,21.49,2,12.08,21.38,5,12.08,21.68,1,11.85,21.22,6,12.05,21.85,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
5,11.29,32.83,3,11.22,32.71,4,11.44,32.82,1,10.87,32.55,2,11.34,32.56,6,11.15,33.00,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
1,9.77,42.60,4,10.14,42.85,5,10.17,42.99,2,10.08,42.63,3,10.16,42.72,6,10.20,43.20,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
1,9.58,52.18,5,9.63,52.48,4,9.48,52.47,2,9.63,52.26,3,9.63,52.35,6,9.53,52.73,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
1,9.70,1:01.88,5,9.80,1:02.28,4,9.66,1:02.13,2,9.69,1:01.95,3,9.70,1:02.05,6,9.70,1:02.43,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
1,9.96,1:11.84,5,9.98,1:12.26,4,9.99,1:12.12,2,10.01,1:11.96,3,9.94,1:11.99,6,9.95,1:12.38,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
4,9.83,1:21.67,5,9.61,1:21.87,3,9.53,1:21.65,2,9.54,1:21.50,1,9.38,1:21.37,6,9.63,1:22.01,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
4,9.54,1:31.21,5,9.44,1:31.31,3,9.37,1:31.02,2,9.39,1:30.89,1,9.44,1:30.81,6,9.42,1:31.43,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
4,9.48,1:40.69,5,9.51,1:40.82,3,9.39,1:40.41,2,9.41,1:40.30,1,9.38,1:40.19,6,9.47,1:40.90,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
4,9.66,1:50.35,6,9.90,1:50.72,3,9.32,1:49.73,2,9.34,1:49.64,1,9.37,1:49.56,5,9.56,1:50.46,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
5,10.40,2:00.75,6,10.15,2:00.87,3,9.30,1:59.03,2,9.34,1:58.98,1,9.33,1:58.89,4,9.83,2:00.29,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
5,10.21,2:10.96,6,10.67,2:11.54,2,9.32,2:08.35,3,9.52,2:08.50,1,9.24,2:08.13,4,10.41,2:10.70,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
5,10.09,2:21.05,6,11.32,2:22.86,2,9.29,2:17.64,3,9.77,2:18.27,1,9.44,2:17.57,4,10.31,2:21.01,2016-2017,ISU World Cup 2016/17 - Gangneung (KOR),1500m,m,Heats,7
