START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,9.146,9.146,5,9.668,9.668,1,8.836,8.836,3,9.205,9.205,4,9.399,9.399,2005-2006,2006 Olympic Games,1500m,w,Heats,4
1,13.234,22.379,5,13.243,22.910,2,13.569,22.404,3,13.411,22.616,4,13.373,22.772,2005-2006,2006 Olympic Games,1500m,w,Heats,4
1,12.012,34.391,5,12.042,34.952,2,12.147,34.551,3,12.001,34.616,4,12.012,34.783,2005-2006,2006 Olympic Games,1500m,w,Heats,4
4,11.003,45.393,2,10.315,45.267,5,10.989,45.539,3,10.725,45.341,1,10.399,45.182,2005-2006,2006 Olympic Games,1500m,w,Heats,4
4,10.262,55.655,2,10.240,55.506,5,10.236,55.775,3,10.285,55.626,1,10.116,55.298,2005-2006,2006 Olympic Games,1500m,w,Heats,4
3,11.142,1:06.797,2,11.190,1:06.696,4,11.067,1:06.842,5,11.277,1:06.902,1,11.182,1:06.480,2005-2006,2006 Olympic Games,1500m,w,Heats,4
4,10.738,1:17.535,3,10.730,1:17.425,1,10.239,1:17.080,5,10.668,1:17.570,2,10.734,1:17.214,2005-2006,2006 Olympic Games,1500m,w,Heats,4
3,10.164,1:27.698,5,10.595,1:28.019,4,10.847,1:27.927,2,10.036,1:27.606,1,10.386,1:27.599,2005-2006,2006 Olympic Games,1500m,w,Heats,4
3,9.955,1:37.653,4,9.811,1:37.830,5,10.932,1:38.859,1,9.619,1:37.225,2,9.921,1:37.519,2005-2006,2006 Olympic Games,1500m,w,Heats,4
2,10.114,1:47.766,4,10.038,1:47.867,5,11.078,1:49.936,3,10.580,1:47.805,1,10.127,1:47.646,2005-2006,2006 Olympic Games,1500m,w,Heats,4
3,10.096,1:57.861,4,10.127,1:57.994,5,11.312,2:01.248,1,9.676,1:57.480,2,9.920,1:57.565,2005-2006,2006 Olympic Games,1500m,w,Heats,4
3,9.868,2:07.729,4,9.759,2:07.753,5,11.521,2:12.768,1,9.965,2:07.445,2,9.923,2:07.488,2005-2006,2006 Olympic Games,1500m,w,Heats,4
4,9.975,2:17.704,3,9.894,2:17.647,5,11.749,2:24.516,1,9.880,2:17.325,2,9.944,2:17.431,2005-2006,2006 Olympic Games,1500m,w,Heats,4
4,10.30,2:28.001,2,9.82,2:27.460,5,11.72,2:36.233,1,9.83,2:27.155,3,10.33,2:27.757,2005-2006,2006 Olympic Games,1500m,w,Heats,4
