START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,START_POS_6 POSITION,START_POS_6 LAP TIME,START_POS_6 ELAPSED TIME,season,competition,event,gender,round,race
3,9.35,9.35,6,9.67,,1,9.06,,2,9.16,9.16,4,9.47,9.47,5,9.49,9.49,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
4,12.07,21.42,6,12.15,,2,12.19,,3,12.16,21.32,1,11.71,21.18,5,12.06,21.55,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
4,11.42,32.84,6,11.30,,2,11.37,,3,11.40,32.72,1,11.35,32.53,5,11.45,33.00,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
4,11.58,44.42,6,11.56,,2,11.60,,3,11.59,44.31,1,11.60,44.13,5,11.57,44.57,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
3,11.30,55.72,6,11.39,,1,11.28,,4,11.48,55.79,2,11.48,55.61,5,11.34,55.91,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
3,11.06,1:06.78,6,11.07,,1,11.05,,4,11.10,1:06.89,2,11.06,1:06.67,5,11.12,1:07.03,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
3,10.67,1:17.45,6,10.62,,2,10.80,,4,10.64,1:17.53,1,10.57,1:17.24,5,10.67,1:17.70,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
1,9.95,1:27.40,6,10.82,,4,10.17,,3,9.95,1:27.48,2,10.18,1:27.42,5,9.92,1:27.62,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
1,9.30,1:36.70,6,11.43,,5,9.54,,3,9.45,1:36.93,2,9.39,1:36.81,3,9.31,1:36.93,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
1,9.20,1:45.90,6,12.57,,5,9.42,,4,9.31,1:46.24,2,9.18,1:45.99,3,9.17,1:46.10,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
1,8.94,1:54.84,6,13.51,,5,9.07,,4,8.93,1:55.17,2,8.97,1:54.96,3,8.97,1:55.07,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
2,8.88,2:03.72,6,12.61,,5,9.11,,4,8.96,2:04.13,1,8.66,2:03.62,3,8.76,2:03.83,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
2,8.88,2:12.60,6,12.34,,5,9.44,,4,9.28,2:13.41,1,8.88,2:12.50,3,8.80,2:12.63,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
2,9.04,2:21.64,6,18.51,2:49.55,5,9.65,,4,9.70,2:23.11,1,9.05,2:21.55,3,9.08,2:21.71,2019-2020,ISU World Junior Short Track Championships 2020 - Bormio (ITA),1500m,m,Heats,7
